mixbench-cpu (v0.04-8-ge51e196)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 8
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    7.09,    9.47,  37.88,      0.125,    7.20,    4.66,  37.29,     0.250,    6.47,   10.38,  41.50
            1,      0.750,    7.05,   28.56,  38.08,      0.375,    7.07,   14.23,  37.96,     0.750,    7.48,   26.92,  35.90
            2,      1.250,    7.96,   42.16,  33.73,      0.625,    7.84,   21.40,  34.24,     1.250,    7.10,   47.29,  37.83
            3,      1.750,    8.41,   55.87,  31.93,      0.875,    7.38,   31.81,  36.35,     1.750,    7.29,   64.40,  36.80
            4,      2.250,    9.32,   64.83,  28.81,      1.125,    8.31,   36.32,  32.28,     2.250,    7.82,   77.25,  34.33
            6,      3.250,    9.72,   89.75,  27.62,      1.625,    9.75,   44.76,  27.54,     3.250,    8.28,  105.34,  32.41
            8,      4.250,   12.06,   94.57,  22.25,      2.125,   12.20,   46.75,  22.00,     4.250,    9.75,  116.96,  27.52
           12,      6.250,   15.70,  106.89,  17.10,      3.125,   15.26,   54.96,  17.59,     6.250,   19.23,   87.26,  13.96
           16,      8.250,   18.68,  118.56,  14.37,      4.125,   15.48,   71.54,  17.34,     8.250,   29.99,   73.84,   8.95
           20,     10.250,   21.03,  130.84,  12.77,      5.125,   21.14,   65.08,  12.70,    10.250,   41.37,   66.51,   6.49
           24,     12.250,   24.37,  134.92,  11.01,      6.125,   24.79,   66.31,  10.83,    12.250,   51.88,   63.38,   5.17
           28,     14.250,   26.76,  142.93,  10.03,      7.125,   28.29,   67.60,   9.49,    14.250,   61.54,   62.16,   4.36
           32,     16.250,   31.66,  137.78,   8.48,      8.125,   31.64,   68.94,   8.49,    16.250,   73.57,   59.29,   3.65
           40,     20.250,   30.87,  176.06,   8.69,     10.125,   32.97,   82.45,   8.14,    20.250,   91.19,   59.61,   2.94
           48,     24.250,   38.79,  167.82,   6.92,     12.125,   40.48,   80.41,   6.63,    24.250,  115.01,   56.60,   2.33
           56,     28.250,   42.81,  177.15,   6.27,     14.125,   43.06,   88.05,   6.23,    28.250,  138.67,   54.69,   1.94
           64,     32.250,   47.87,  180.83,   5.61,     16.125,   47.56,   91.02,   5.64,    32.250,  160.01,   54.10,   1.68
           80,     40.250,   59.09,  182.84,   4.54,     20.125,   59.48,   90.83,   4.51,    40.250,  202.58,   53.33,   1.33
          104,     52.250,   75.15,  186.64,   3.57,     26.125,   75.87,   92.43,   3.54,    52.250,  274.00,   51.19,   0.98
          120,     60.250,   81.09,  199.44,   3.31,     30.125,   85.73,   94.32,   3.13,    60.250,  306.61,   52.75,   0.88
          128,     64.250,   89.51,  192.68,   3.00,     32.125,   92.56,   93.17,   2.90,    64.250,  323.63,   53.29,   0.83
          160,     80.250,  114.06,  188.87,   2.35,     40.125,  113.01,   95.31,   2.38,    80.250,  424.44,   50.75,   0.63
          192,     96.250,  131.97,  195.78,   2.03,     48.125,  134.62,   95.96,   1.99,    96.250,  506.25,   51.04,   0.53
          256,    128.250,  181.41,  189.77,   1.48,     64.125,  181.38,   94.90,   1.48,   128.250,  658.73,   52.26,   0.41
          320,    160.250,  220.39,  195.18,   1.22,     80.125,  222.86,   96.51,   1.20,   160.250,  801.71,   53.66,   0.33
          512,    256.250,  339.68,  202.51,   0.79,    128.125,  350.92,   98.01,   0.76,   256.250, 1218.50,   56.45,   0.22
------------------------------------------------------------------------------------------------------------------------------
