mixbench-cpu (v0.04-13-g597b700)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 8
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    6.50,   10.32,  41.27,      0.125,    6.60,    5.08,  40.65,     0.250,    6.52,   10.30,  41.19
            1,      0.750,    6.44,   31.28,  41.70,      0.375,    6.40,   15.72,  41.93,     0.750,    6.36,   31.66,  42.21
            2,      1.250,    6.40,   52.41,  41.93,      0.625,    6.43,   26.09,  41.75,     1.250,    6.57,   51.10,  40.88
            3,      1.750,    6.59,   71.32,  40.75,      0.875,    6.40,   36.71,  41.95,     1.750,    6.47,   72.61,  41.49
            4,      2.250,    6.50,   92.86,  41.27,      1.125,    6.43,   47.00,  41.77,     2.250,    6.39,   94.45,  41.98
            6,      3.250,    6.52,  133.79,  41.16,      1.625,    6.58,   66.30,  40.80,     3.250,    6.43,  135.70,  41.75
            8,      4.250,    6.59,  173.01,  40.71,      2.125,    6.52,   87.48,  41.16,     4.250,    6.37,  179.21,  42.17
           12,      6.250,    6.87,  244.14,  39.06,      3.125,    6.92,  121.28,  38.81,     6.250,    7.56,  221.92,  35.51
           16,      8.250,    7.00,  316.23,  38.33,      4.125,    7.08,  156.42,  37.92,     8.250,   10.84,  204.26,  24.76
           20,     10.250,    7.67,  358.64,  34.99,      5.125,    7.81,  176.10,  34.36,    10.250,   14.35,  191.74,  18.71
           24,     12.250,    9.15,  359.54,  29.35,      6.125,    9.12,  180.22,  29.42,    12.250,   18.25,  180.18,  14.71
           28,     14.250,    9.72,  393.58,  27.62,      7.125,    9.44,  202.56,  28.43,    14.250,   22.60,  169.24,  11.88
           32,     16.250,   10.12,  430.86,  26.51,      8.125,   10.15,  214.84,  26.44,    16.250,   26.21,  166.40,  10.24
           40,     20.250,   11.96,  454.42,  22.44,     10.125,   11.99,  226.59,  22.38,    20.250,   33.91,  160.31,   7.92
           48,     24.250,   13.90,  468.38,  19.31,     12.125,   13.94,  233.42,  19.25,    24.250,   41.98,  155.05,   6.39
           56,     28.250,   15.63,  485.18,  17.17,     14.125,   15.43,  245.78,  17.40,    28.250,   49.69,  152.62,   5.40
           64,     32.250,   17.86,  484.74,  15.03,     16.125,   17.39,  248.94,  15.44,    32.250,   57.24,  151.24,   4.69
           80,     40.250,   21.68,  498.34,  12.38,     20.125,   21.66,  249.37,  12.39,    40.250,   73.16,  147.68,   3.67
          104,     52.250,   27.41,  511.63,   9.79,     26.125,   28.00,  250.47,   9.59,    52.250,   96.58,  145.22,   2.78
          120,     60.250,   32.00,  505.37,   8.39,     30.125,   31.12,  259.81,   8.62,    60.250,  111.64,  144.87,   2.40
          128,     64.250,   33.25,  518.75,   8.07,     32.125,   32.88,  262.31,   8.17,    64.250,  119.60,  144.21,   2.24
          160,     80.250,   41.33,  521.23,   6.50,     40.125,   40.83,  263.81,   6.57,    80.250,  157.18,  137.05,   1.71
          192,     96.250,   49.20,  525.14,   5.46,     48.125,   48.84,  264.51,   5.50,    96.250,  188.47,  137.09,   1.42
          256,    128.250,   65.52,  525.42,   4.10,     64.125,   65.51,  262.76,   4.10,   128.250,  251.99,  136.62,   1.07
          320,    160.250,   81.70,  526.55,   3.29,     80.125,   81.82,  262.88,   3.28,   160.250,  314.37,  136.84,   0.85
          512,    256.250,  129.76,  530.11,   2.07,    128.125,  129.68,  265.21,   2.07,   256.250,  502.80,  136.81,   0.53
------------------------------------------------------------------------------------------------------------------------------
