mixbench-cpu (v0.04-8-ge51e196)
Use "-h" argument to see available options
Working memory size: 384MB
Total threads: 12
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    9.57,   10.52,  42.09,      0.125,    9.45,    5.32,  42.60,     0.250,    9.58,   10.51,  42.04
            1,      0.750,    9.61,   31.42,  41.90,      0.375,    9.59,   15.75,  41.99,     0.750,    9.74,   31.01,  41.34
            2,      1.250,    9.81,   51.28,  41.02,      0.625,    9.59,   26.24,  41.99,     1.250,    9.71,   51.85,  41.48
            3,      1.750,    9.79,   71.98,  41.13,      0.875,    9.75,   36.12,  41.29,     1.750,    9.77,   72.12,  41.21
            4,      2.250,    9.79,   92.56,  41.14,      1.125,    9.54,   47.47,  42.20,     2.250,    9.43,   96.07,  42.70
            6,      3.250,    9.50,  137.78,  42.39,      1.625,    9.58,   68.29,  42.03,     3.250,    9.48,  138.08,  42.49
            8,      4.250,    9.65,  177.32,  41.72,      2.125,    9.56,   89.46,  42.10,     4.250,    9.53,  179.59,  42.26
           12,      6.250,    9.41,  267.29,  42.77,      3.125,    9.56,  131.61,  42.11,     6.250,    9.62,  261.46,  41.83
           16,      8.250,    9.49,  350.19,  42.45,      4.125,    9.46,  175.56,  42.56,     8.250,    9.63,  344.99,  41.82
           20,     10.250,    9.64,  428.04,  41.76,      5.125,    9.72,  212.20,  41.40,    10.250,    9.56,  431.90,  42.14
           24,     12.250,    9.52,  517.90,  42.28,      6.125,    9.53,  258.92,  42.27,    12.250,    9.34,  527.99,  43.10
           28,     14.250,    9.62,  596.51,  41.86,      7.125,    9.59,  299.09,  41.98,    14.250,    9.41,  609.82,  42.79
           32,     16.250,    9.42,  694.60,  42.74,      8.125,    9.48,  344.92,  42.45,    16.250,    9.94,  658.39,  40.52
           40,     20.250,    9.72,  838.95,  41.43,     10.125,    9.77,  417.16,  41.20,    20.250,   11.62,  701.40,  34.64
           48,     24.250,   11.35,  860.29,  35.48,     12.125,   11.36,  429.62,  35.43,    24.250,   13.75,  710.29,  29.29
           56,     28.250,   13.23,  859.52,  30.43,     14.125,   13.24,  429.67,  30.42,    28.250,   16.14,  704.64,  24.94
           64,     32.250,   15.12,  858.83,  26.63,     16.125,   15.13,  429.16,  26.61,    32.250,   18.79,  691.09,  21.43
           80,     40.250,   18.91,  856.91,  21.29,     20.125,   18.91,  428.41,  21.29,    40.250,   23.55,  688.16,  17.10
          104,     52.250,   24.58,  855.99,  16.38,     26.125,   24.58,  428.01,  16.38,    52.250,   30.77,  683.72,  13.09
          120,     60.250,   28.37,  855.03,  14.19,     30.125,   28.35,  427.82,  14.20,    60.250,   35.45,  684.40,  11.36
          128,     64.250,   30.23,  855.65,  13.32,     32.125,   30.26,  427.46,  13.31,    64.250,   37.90,  682.60,  10.62
          160,     80.250,   37.81,  854.50,  10.65,     40.125,   37.83,  427.09,  10.64,    80.250,   48.42,  667.36,   8.32
          192,     96.250,   45.38,  853.92,   8.87,     48.125,   45.41,  426.70,   8.87,    96.250,   57.36,  675.60,   7.02
          256,    128.250,   60.53,  853.09,   6.65,     64.125,   60.52,  426.62,   6.65,   128.250,   76.88,  671.73,   5.24
          320,    160.250,   75.67,  852.73,   5.32,     80.125,   75.64,  426.52,   5.32,   160.250,   95.84,  673.25,   4.20
          512,    256.250,  120.87,  853.66,   3.33,    128.125,  120.95,  426.53,   3.33,   256.250,  152.27,  677.61,   2.64
------------------------------------------------------------------------------------------------------------------------------
