mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 512MB
Total threads: 16
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   12.90,   10.40,  41.61,      0.125,   12.95,    5.18,  41.45,     0.250,   13.03,   10.30,  41.19
            1,      0.750,   12.99,   31.01,  41.34,      0.375,   12.93,   15.57,  41.52,     0.750,   12.95,   31.08,  41.44
            2,      1.250,   12.90,   52.04,  41.63,      0.625,   12.74,   26.34,  42.15,     1.250,   12.94,   51.86,  41.49
            3,      1.750,   12.94,   72.62,  41.50,      0.875,   12.96,   36.24,  41.41,     1.750,   12.97,   72.46,  41.41
            4,      2.250,   12.96,   93.23,  41.43,      1.125,   12.91,   46.79,  41.60,     2.250,   12.73,   94.91,  42.18
            6,      3.250,   12.83,  136.02,  41.85,      1.625,   12.78,   68.24,  42.00,     3.250,   12.70,  137.40,  42.28
            8,      4.250,   12.68,  179.96,  42.34,      2.125,   12.69,   89.87,  42.29,     4.250,   12.70,  179.63,  42.27
           12,      6.250,   12.69,  264.37,  42.30,      3.125,   12.73,  131.78,  42.17,     6.250,   12.92,  259.71,  41.55
           16,      8.250,   12.89,  343.59,  41.65,      4.125,   12.90,  171.73,  41.63,     8.250,   12.88,  344.01,  41.70
           20,     10.250,   12.89,  427.05,  41.66,      5.125,   12.89,  213.44,  41.65,    10.250,   12.91,  426.15,  41.58
           24,     12.250,   12.91,  509.42,  41.59,      6.125,   12.90,  254.87,  41.61,    12.250,   12.89,  510.02,  41.63
           28,     14.250,   12.95,  590.81,  41.46,      7.125,   12.94,  295.70,  41.50,    14.250,   12.93,  591.68,  41.52
           32,     16.250,   12.90,  676.24,  41.61,      8.125,   12.90,  338.15,  41.62,    16.250,   12.93,  674.72,  41.52
           40,     20.250,   12.92,  841.52,  41.56,     10.125,   12.87,  422.30,  41.71,    20.250,   12.83,  847.29,  41.84
           48,     24.250,   12.87, 1011.67,  41.72,     12.125,   12.94,  503.10,  41.49,    24.250,   13.85,  940.08,  38.77
           56,     28.250,   13.56, 1118.48,  39.59,     14.125,   13.57,  558.66,  39.55,    28.250,   15.91,  953.10,  33.74
           64,     32.250,   14.93, 1160.07,  35.97,     16.125,   14.90,  580.81,  36.02,    32.250,   18.44,  939.09,  29.12
           80,     40.250,   18.53, 1166.35,  28.98,     20.125,   18.54,  582.93,  28.97,    40.250,   22.71,  951.65,  23.64
          104,     52.250,   24.02, 1167.60,  22.35,     26.125,   24.01,  584.26,  22.36,    52.250,   29.50,  951.06,  18.20
          120,     60.250,   27.68, 1168.38,  19.39,     30.125,   27.68,  584.25,  19.39,    60.250,   34.60,  934.84,  15.52
          128,     64.250,   29.52, 1168.69,  18.19,     32.125,   29.51,  584.37,  18.19,    64.250,   36.88,  935.18,  14.56
          160,     80.250,   36.88, 1168.31,  14.56,     40.125,   36.88,  584.03,  14.56,    80.250,   47.32,  910.56,  11.35
          192,     96.250,   44.26, 1167.51,  12.13,     48.125,   44.27,  583.61,  12.13,    96.250,   56.63,  912.47,   9.48
          256,    128.250,   59.03, 1166.36,   9.09,     64.125,   59.01,  583.39,   9.10,   128.250,   75.07,  917.14,   7.15
          320,    160.250,   73.76, 1166.35,   7.28,     80.125,   73.79,  582.93,   7.28,   160.250,   93.58,  919.40,   5.74
          512,    256.250,  118.10, 1164.88,   4.55,    128.125,  117.98,  583.02,   4.55,   256.250,  149.21,  921.99,   3.60
------------------------------------------------------------------------------------------------------------------------------
