mixbench-cpu (v0.04-13-g597b700)
Use "-h" argument to see available options
Working memory size: 512MB
Total threads: 16
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   11.41,   11.76,  47.04,      0.125,   11.39,    5.89,  47.13,     0.250,   12.88,   10.42,  41.68
            1,      0.750,   11.41,   35.30,  47.07,      0.375,   11.46,   17.57,  46.86,     0.750,   11.36,   35.44,  47.25
            2,      1.250,   11.47,   58.51,  46.81,      0.625,   11.36,   29.55,  47.28,     1.250,   13.05,   51.41,  41.13
            3,      1.750,   12.36,   76.01,  43.43,      0.875,   11.59,   40.54,  46.33,     1.750,   12.98,   72.38,  41.36
            4,      2.250,   12.99,   92.98,  41.33,      1.125,   11.44,   52.81,  46.95,     2.250,   11.43,  105.73,  46.99
            6,      3.250,   11.36,  153.54,  47.24,      1.625,   11.34,   76.96,  47.36,     3.250,   11.33,  153.97,  47.38
            8,      4.250,   11.37,  200.69,  47.22,      2.125,   11.36,  100.45,  47.27,     4.250,   11.37,  200.64,  47.21
           12,      6.250,   11.38,  294.80,  47.17,      3.125,   11.47,  146.24,  46.80,     6.250,   11.35,  295.63,  47.30
           16,      8.250,   11.37,  389.45,  47.21,      4.125,   11.48,  192.98,  46.78,     8.250,   11.43,  387.47,  46.97
           20,     10.250,   11.41,  482.37,  47.06,      5.125,   11.33,  242.78,  47.37,    10.250,   11.52,  477.68,  46.60
           24,     12.250,   11.42,  575.99,  47.02,      6.125,   11.45,  287.12,  46.88,    12.250,   11.41,  576.14,  47.03
           28,     14.250,   11.56,  662.03,  46.46,      7.125,   11.52,  331.99,  46.60,    14.250,   11.38,  672.45,  47.19
           32,     16.250,   11.45,  761.74,  46.88,      8.125,   11.45,  381.07,  46.90,    16.250,   11.70,  745.85,  45.90
           40,     20.250,   11.65,  933.03,  46.08,     10.125,   11.54,  471.08,  46.53,    20.250,   12.23,  888.71,  43.89
           48,     24.250,   12.64, 1030.32,  42.49,     12.125,   12.61,  516.10,  42.56,    24.250,   14.23,  914.97,  37.73
           56,     28.250,   14.62, 1037.25,  36.72,     14.125,   14.64,  517.88,  36.66,    28.250,   16.52,  918.35,  32.51
           64,     32.250,   16.70, 1036.90,  32.15,     16.125,   16.70,  518.29,  32.14,    32.250,   18.87,  917.50,  28.45
           80,     40.250,   20.85, 1036.26,  25.75,     20.125,   20.87,  517.61,  25.72,    40.250,   23.47,  920.71,  22.87
          104,     52.250,   27.12, 1034.35,  19.80,     26.125,   27.11,  517.29,  19.80,    52.250,   30.64,  915.52,  17.52
          120,     60.250,   31.29, 1033.76,  17.16,     30.125,   31.28,  517.05,  17.16,    60.250,   35.21,  918.59,  15.25
          128,     64.250,   33.37, 1033.77,  16.09,     32.125,   33.36,  516.95,  16.09,    64.250,   37.60,  917.29,  14.28
          160,     80.250,   41.70, 1033.11,  12.87,     40.125,   41.71,  516.52,  12.87,    80.250,   49.06,  878.10,  10.94
          192,     96.250,   50.02, 1033.08,  10.73,     48.125,   50.01,  516.63,  10.74,    96.250,   58.59,  882.02,   9.16
          256,    128.250,   66.68, 1032.65,   8.05,     64.125,   66.68,  516.28,   8.05,   128.250,   77.82,  884.77,   6.90
          320,    160.250,   83.34, 1032.34,   6.44,     80.125,   83.36,  516.02,   6.44,   160.250,   96.98,  887.12,   5.54
          512,    256.250,  133.34, 1031.75,   4.03,    128.125,  133.33,  515.92,   4.03,   256.250,  154.14,  892.53,   3.48
------------------------------------------------------------------------------------------------------------------------------
