mixbench-cpu (v0.04-11-g2afd929)
Use "-h" argument to see available options
Working memory size: 512MB
Total threads: 16
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   11.46,   11.71,  46.85,      0.125,   11.50,    5.84,  46.69,     0.250,   12.99,   10.33,  41.31
            1,      0.750,   11.50,   35.02,  46.69,      0.375,   11.61,   17.34,  46.25,     0.750,   11.50,   35.03,  46.70
            2,      1.250,   11.51,   58.33,  46.66,      0.625,   11.46,   29.28,  46.84,     1.250,   11.49,   58.40,  46.72
            3,      1.750,   11.49,   81.76,  46.72,      0.875,   11.47,   40.94,  46.79,     1.750,   11.69,   80.39,  45.94
            4,      2.250,   11.47,  105.30,  46.80,      1.125,   11.47,   52.63,  46.79,     2.250,   11.48,  105.22,  46.77
            6,      3.250,   11.44,  152.47,  46.91,      1.625,   11.49,   75.94,  46.73,     3.250,   11.44,  152.48,  46.92
            8,      4.250,   11.70,  195.05,  45.89,      2.125,   11.46,   99.59,  46.87,     4.250,   11.45,  199.28,  46.89
           12,      6.250,   11.45,  293.00,  46.88,      3.125,   11.46,  146.36,  46.84,     6.250,   11.44,  293.36,  46.94
           16,      8.250,   11.46,  386.36,  46.83,      4.125,   11.44,  193.55,  46.92,     8.250,   11.44,  387.34,  46.95
           20,     10.250,   11.41,  482.33,  47.06,      5.125,   11.42,  240.95,  47.02,    10.250,   11.48,  479.22,  46.75
           24,     12.250,   11.47,  573.28,  46.80,      6.125,   13.32,  246.89,  40.31,    12.250,   11.36,  579.14,  47.28
           28,     14.250,   11.44,  668.80,  46.93,      7.125,   11.38,  336.07,  47.17,    14.250,   12.11,  631.95,  44.35
           32,     16.250,   12.17,  716.98,  44.12,      8.125,   11.35,  384.46,  47.32,    16.250,   11.36,  768.11,  47.27
           40,     20.250,   11.38,  955.50,  47.18,     10.125,   11.39,  477.04,  47.11,    20.250,   12.58,  863.99,  42.67
           48,     24.250,   12.28, 1060.02,  43.71,     12.125,   12.31,  528.72,  43.61,    24.250,   14.44,  901.85,  37.19
           56,     28.250,   13.76, 1102.22,  39.02,     14.125,   13.75,  551.39,  39.04,    28.250,   16.83,  901.11,  31.90
           64,     32.250,   15.54, 1114.31,  34.55,     16.125,   15.49,  558.81,  34.65,    32.250,   19.59,  883.96,  27.41
           80,     40.250,   19.36, 1116.34,  27.74,     20.125,   19.31,  559.50,  27.80,    40.250,   24.58,  879.20,  21.84
          104,     52.250,   25.15, 1115.50,  21.35,     26.125,   25.01,  560.83,  21.47,    52.250,   32.10,  873.85,  16.72
          120,     60.250,   29.00, 1115.51,  18.51,     30.125,   28.94,  558.80,  18.55,    60.250,   36.38,  889.13,  14.76
          128,     64.250,   30.92, 1115.59,  17.36,     32.125,   30.88,  558.46,  17.38,    64.250,   39.59,  871.19,  13.56
          160,     80.250,   38.65, 1114.86,  13.89,     40.125,   38.57,  558.53,  13.92,    80.250,   50.77,  848.66,  10.58
          192,     96.250,   46.35, 1114.74,  11.58,     48.125,   46.21,  559.14,  11.62,    96.250,   60.58,  852.96,   8.86
          256,    128.250,   61.73, 1115.47,   8.70,     64.125,   61.70,  558.01,   8.70,   128.250,   80.64,  853.88,   6.66
          320,    160.250,   77.25, 1113.65,   6.95,     80.125,   77.20,  557.18,   6.95,   160.250,   98.24,  875.71,   5.46
          512,    256.250,  123.47, 1114.21,   4.35,    128.125,  123.42,  557.35,   4.35,   256.250,  160.41,  857.63,   3.35
------------------------------------------------------------------------------------------------------------------------------
