mixbench-cpu (v0.04-10-g3af4f37)
Use "-h" argument to see available options
Working memory size: 896MB
Total threads: 28
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   26.10,    9.00,  35.99,      0.125,   25.76,    4.56,  36.48,     0.250,   26.11,    9.00,  35.98
            1,      0.750,   25.77,   27.34,  36.45,      0.375,   25.72,   13.70,  36.53,     0.750,   25.85,   27.26,  36.34
            2,      1.250,   25.97,   45.22,  36.18,      0.625,   26.09,   22.51,  36.02,     1.250,   25.79,   45.54,  36.43
            3,      1.750,   25.91,   63.45,  36.26,      0.875,   26.06,   31.55,  36.06,     1.750,   25.94,   63.39,  36.22
            4,      2.250,   25.84,   81.82,  36.37,      1.125,   25.86,   40.88,  36.34,     2.250,   26.10,   80.98,  35.99
            6,      3.250,   25.88,  118.01,  36.31,      1.625,   25.80,   59.18,  36.42,     3.250,   25.96,  117.62,  36.19
            8,      4.250,   25.82,  154.63,  36.38,      2.125,   25.76,   77.50,  36.47,     4.250,   25.85,  154.46,  36.34
           12,      6.250,   25.86,  227.04,  36.33,      3.125,   25.75,  114.04,  36.49,     6.250,   26.21,  224.03,  35.84
           16,      8.250,   26.06,  297.43,  36.05,      4.125,   26.22,  147.83,  35.84,     8.250,   26.24,  295.44,  35.81
           20,     10.250,   26.17,  368.03,  35.90,      5.125,   26.14,  184.17,  35.94,    10.250,   26.34,  365.55,  35.66
           24,     12.250,   26.26,  438.34,  35.78,      6.125,   26.21,  219.58,  35.85,    12.250,   27.79,  414.16,  33.81
           28,     14.250,   26.30,  509.00,  35.72,      7.125,   26.39,  253.71,  35.61,    14.250,   33.67,  397.64,  27.90
           32,     16.250,   26.26,  581.41,  35.78,      8.125,   26.22,  291.09,  35.83,    16.250,   39.35,  388.03,  23.88
           40,     20.250,   26.28,  723.89,  35.75,     10.125,   26.28,  361.95,  35.75,    20.250,   51.26,  371.16,  18.33
           48,     24.250,   26.26,  867.58,  35.78,     12.125,   26.30,  433.11,  35.72,    24.250,   63.21,  360.46,  14.86
           56,     28.250,   26.61,  997.50,  35.31,     14.125,   26.61,  498.71,  35.31,    28.250,   75.00,  353.88,  12.53
           64,     32.250,   30.50,  993.53,  30.81,     16.125,   30.51,  496.60,  30.80,    32.250,   86.91,  348.65,  10.81
           80,     40.250,   37.79, 1000.76,  24.86,     20.125,   37.98,  497.85,  24.74,    40.250,  110.78,  341.35,   8.48
          104,     52.250,   47.64, 1030.53,  19.72,     26.125,   47.70,  514.59,  19.70,    52.250,  146.75,  334.51,   6.40
          120,     60.250,   54.39, 1040.71,  17.27,     30.125,   54.43,  520.01,  17.26,    60.250,  170.66,  331.70,   5.51
          128,     64.250,   57.87, 1043.16,  16.24,     32.125,   57.85,  521.76,  16.24,    64.250,  183.52,  328.92,   5.12
          160,     80.250,   69.34, 1087.32,  13.55,     40.125,   68.92,  546.96,  13.63,    80.250,  240.79,  313.12,   3.90
          192,     96.250,   81.15, 1114.39,  11.58,     48.125,   81.19,  556.91,  11.57,    96.250,  288.99,  312.92,   3.25
          256,    128.250,  106.08, 1135.92,   8.86,     64.125,  105.92,  568.80,   8.87,   128.250,  386.06,  312.11,   2.43
          320,    160.250,  131.21, 1147.46,   7.16,     80.125,  131.88,  570.83,   7.12,   160.250,  481.81,  312.49,   1.95
          512,    256.250,  205.88, 1169.36,   4.56,    128.125,  205.91,  584.62,   4.56,   256.250,  771.80,  311.94,   1.22
------------------------------------------------------------------------------------------------------------------------------
