mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 128MB
Total threads: 4
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    6.81,    4.93,  19.71,      0.125,    6.82,    2.46,  19.67,     0.250,    6.83,    4.92,  19.66
            1,      0.750,    6.86,   14.67,  19.56,      0.375,    6.90,    7.30,  19.46,     0.750,    6.91,   14.56,  19.41
            2,      1.250,    6.89,   24.36,  19.49,      0.625,    6.90,   12.16,  19.46,     1.250,    6.94,   24.19,  19.35
            3,      1.750,    6.87,   34.20,  19.54,      0.875,    6.91,   17.00,  19.43,     1.750,    6.94,   33.83,  19.33
            4,      2.250,    6.91,   43.71,  19.43,      1.125,    6.88,   21.96,  19.52,     2.250,    6.85,   44.09,  19.60
            6,      3.250,    6.88,   63.38,  19.50,      1.625,    6.86,   31.79,  19.57,     3.250,    6.95,   62.79,  19.32
            8,      4.250,    6.93,   82.35,  19.38,      2.125,    6.91,   41.31,  19.44,     4.250,    6.98,   81.71,  19.23
           12,      6.250,    7.63,  109.91,  17.59,      3.125,    7.63,   54.94,  17.58,     6.250,    8.00,  104.81,  16.77
           16,      8.250,    8.94,  123.84,  15.01,      4.125,    8.96,   61.78,  14.98,     8.250,   10.41,  106.35,  12.89
           20,     10.250,   10.27,  133.90,  13.06,      5.125,   10.27,   66.97,  13.07,    10.250,   13.50,  101.88,   9.94
           24,     12.250,   11.77,  139.67,  11.40,      6.125,   11.78,   69.81,  11.40,    12.250,   16.14,  101.89,   8.32
           28,     14.250,   13.22,  144.69,  10.15,      7.125,   13.18,   72.56,  10.18,    14.250,   19.00,  100.65,   7.06
           32,     16.250,   14.74,  148.01,   9.11,      8.125,   14.71,   74.13,   9.12,    16.250,   21.14,  103.17,   6.35
           40,     20.250,   17.50,  155.35,   7.67,     10.125,   17.49,   77.69,   7.67,    20.250,   26.43,  102.85,   5.08
           48,     24.250,   20.27,  160.56,   6.62,     12.125,   20.25,   80.35,   6.63,    24.250,   31.87,  102.13,   4.21
           56,     28.250,   22.97,  165.06,   5.84,     14.125,   22.98,   82.49,   5.84,    28.250,   37.24,  101.82,   3.60
           64,     32.250,   25.78,  167.93,   5.21,     16.125,   25.79,   83.92,   5.20,    32.250,   42.71,  101.35,   3.14
           80,     40.250,   31.45,  171.77,   4.27,     20.125,   31.46,   85.86,   4.27,    40.250,   54.60,   98.93,   2.46
          104,     52.250,   39.75,  176.42,   3.38,     26.125,   39.77,   88.17,   3.37,    52.250,   70.63,   99.29,   1.90
          120,     60.250,   45.24,  178.75,   2.97,     30.125,   45.22,   89.42,   2.97,    60.250,   81.43,   99.31,   1.65
          128,     64.250,   47.97,  179.76,   2.80,     32.125,   47.96,   89.91,   2.80,    64.250,   86.82,   99.32,   1.55
          160,     80.250,   58.76,  183.31,   2.28,     40.125,   58.75,   91.67,   2.28,    80.250,  113.89,   94.57,   1.18
          192,     96.250,   69.77,  185.16,   1.92,     48.125,   69.75,   92.60,   1.92,    96.250,  135.51,   95.33,   0.99
          256,    128.250,   91.64,  187.85,   1.46,     64.125,   91.60,   93.96,   1.47,   128.250,  179.84,   95.72,   0.75
          320,    160.250,  113.58,  189.37,   1.18,     80.125,  113.57,   94.69,   1.18,   160.250,  224.19,   95.94,   0.60
          512,    256.250,  179.59,  191.51,   0.75,    128.125,  179.63,   95.73,   0.75,   256.250,  357.81,   96.12,   0.38
------------------------------------------------------------------------------------------------------------------------------
