mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 768MB
Total threads: 24
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   18.93,   10.63,  42.54,      0.125,   18.66,    5.40,  43.17,     0.250,   18.17,   11.08,  44.31
            1,      0.750,   18.74,   32.23,  42.98,      0.375,   18.71,   16.14,  43.05,     0.750,   18.47,   32.69,  43.59
            2,      1.250,   18.53,   54.32,  43.45,      0.625,   18.76,   26.82,  42.92,     1.250,   18.52,   54.35,  43.48
            3,      1.750,   19.89,   70.84,  40.48,      0.875,   19.84,   35.52,  40.59,     1.750,   18.70,   75.38,  43.08
            4,      2.250,   18.43,   98.29,  43.68,      1.125,   18.97,   47.77,  42.46,     2.250,   18.60,   97.43,  43.30
            6,      3.250,   18.76,  139.49,  42.92,      1.625,   18.74,   69.83,  42.97,     3.250,   18.74,  139.68,  42.98
            8,      4.250,   18.76,  182.40,  42.92,      2.125,   18.77,   91.19,  42.91,     4.250,   18.66,  183.42,  43.16
           12,      6.250,   19.13,  263.13,  42.10,      3.125,   19.04,  132.17,  42.30,     6.250,   20.73,  242.75,  38.84
           16,      8.250,   20.82,  319.14,  38.68,      4.125,   20.77,  159.91,  38.77,     8.250,   21.06,  315.45,  38.24
           20,     10.250,   20.87,  395.55,  38.59,      5.125,   20.89,  197.55,  38.55,    10.250,   23.10,  357.38,  34.87
           24,     12.250,   20.95,  470.97,  38.45,      6.125,   20.96,  235.35,  38.42,    12.250,   25.28,  390.28,  31.86
           28,     14.250,   21.01,  546.17,  38.33,      7.125,   20.98,  273.50,  38.39,    14.250,   27.02,  424.79,  29.81
           32,     16.250,   21.19,  617.60,  38.01,      8.125,   21.18,  308.87,  38.01,    16.250,   29.47,  444.07,  27.33
           40,     20.250,   21.62,  754.17,  37.24,     10.125,   22.27,  366.20,  36.17,    20.250,   33.53,  486.33,  24.02
           48,     24.250,   23.46,  832.53,  34.33,     12.125,   23.49,  415.70,  34.28,    24.250,   41.54,  470.13,  19.39
           56,     28.250,   24.63,  923.55,  32.69,     14.125,   24.73,  459.91,  32.56,    28.250,   49.48,  459.79,  16.28
           64,     32.250,   25.90, 1002.79,  31.09,     16.125,   25.84,  502.46,  31.16,    32.250,   57.51,  451.61,  14.00
           80,     40.250,   26.10, 1242.04,  30.86,     20.125,   25.99,  623.67,  30.99,    40.250,   73.57,  440.59,  10.95
          104,     52.250,   28.79, 1461.37,  27.97,     26.125,   28.77,  731.14,  27.99,    52.250,   86.06,  488.91,   9.36
          120,     60.250,   32.75, 1481.38,  24.59,     30.125,   32.65,  743.14,  24.67,    60.250,  107.18,  452.68,   7.51
          128,     64.250,   35.21, 1469.58,  22.87,     32.125,   35.48,  729.05,  22.69,    64.250,  102.78,  503.42,   7.84
          160,     80.250,   43.53, 1484.63,  18.50,     40.125,   43.50,  742.79,  18.51,    80.250,  160.80,  401.91,   5.01
          192,     96.250,   52.39, 1479.41,  15.37,     48.125,   52.49,  738.39,  15.34,    96.250,  152.61,  507.90,   5.28
          256,    128.250,   68.45, 1508.85,  11.76,     64.125,   68.42,  754.80,  11.77,   128.250,  203.02,  508.71,   3.97
          320,    160.250,   83.15, 1552.04,   9.69,     80.125,   83.09,  776.54,   9.69,   160.250,  262.75,  491.15,   3.06
          512,    256.250,  131.31, 1571.61,   6.13,    128.125,  131.32,  785.70,   6.13,   256.250,  399.71,  516.28,   2.01
------------------------------------------------------------------------------------------------------------------------------
