mixbench-cpu (v0.04-8-ge51e196)
Use "-h" argument to see available options
Working memory size: 768MB
Total threads: 24
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   21.21,    9.49,  37.98,      0.125,   21.52,    4.68,  37.43,     0.250,   21.09,    9.55,  38.18
            1,      0.750,   22.39,   26.97,  35.97,      0.375,   21.57,   14.00,  37.33,     0.750,   21.26,   28.41,  37.88
            2,      1.250,   21.52,   46.78,  37.43,      0.625,   21.51,   23.40,  37.44,     1.250,   21.19,   47.51,  38.01
            3,      1.750,   22.08,   63.83,  36.48,      0.875,   22.62,   31.15,  35.60,     1.750,   21.59,   65.26,  37.29
            4,      2.250,   22.70,   79.83,  35.48,      1.125,   26.73,   33.89,  30.13,     2.250,   21.22,   85.38,  37.94
            6,      3.250,   27.05,   96.74,  29.77,      1.625,   28.98,   45.15,  27.79,     3.250,   23.48,  111.49,  34.30
            8,      4.250,   25.77,  132.83,  31.25,      2.125,   29.81,   57.41,  27.02,     4.250,   26.62,  128.56,  30.25
           12,      6.250,   25.49,  197.46,  31.59,      3.125,   29.18,   86.23,  27.60,     6.250,   31.30,  160.78,  25.73
           16,      8.250,   32.49,  204.50,  24.79,      4.125,   39.23,   84.68,  20.53,     8.250,   38.45,  172.81,  20.95
           20,     10.250,   35.73,  231.00,  22.54,      5.125,   46.14,   89.44,  17.45,    10.250,   47.54,  173.64,  16.94
           24,     12.250,   41.10,  240.00,  19.59,      6.125,   52.43,   94.08,  15.36,    12.250,   52.31,  188.60,  15.40
           28,     14.250,   43.73,  262.44,  18.42,      7.125,   55.19,  103.96,  14.59,    14.250,   58.50,  196.15,  13.76
           32,     16.250,   50.30,  260.15,  16.01,      8.125,   57.53,  113.74,  14.00,    16.250,   66.80,  195.91,  12.06
           40,     20.250,   53.77,  303.30,  14.98,     10.125,   66.27,  123.04,  12.15,    20.250,   82.13,  198.55,   9.80
           48,     24.250,   58.71,  332.64,  13.72,     12.125,   79.79,  122.38,  10.09,    24.250,   97.22,  200.86,   8.28
           56,     28.250,   69.03,  329.57,  11.67,     14.125,   91.03,  124.95,   8.85,    28.250,  114.12,  199.35,   7.06
           64,     32.250,   75.47,  344.10,  10.67,     16.125,  102.89,  126.21,   7.83,    32.250,  129.42,  200.67,   6.22
           80,     40.250,   90.52,  358.10,   8.90,     20.125,  124.91,  129.74,   6.45,    40.250,  160.68,  201.73,   5.01
          104,     52.250,  115.30,  364.94,   6.98,     26.125,  157.55,  133.54,   5.11,    52.250,  231.23,  181.97,   3.48
          120,     60.250,  130.84,  370.83,   6.15,     30.125,  181.73,  133.50,   4.43,    60.250,  265.28,  182.90,   3.04
          128,     64.250,  138.75,  372.90,   5.80,     32.125,  194.54,  132.98,   4.14,    64.250,  278.47,  185.81,   2.89
          160,     80.250,  186.76,  346.04,   4.31,     40.125,  258.86,  124.83,   3.11,    80.250,  362.13,  178.46,   2.22
          192,     96.250,  242.59,  319.51,   3.32,     48.125,  308.53,  125.61,   2.61,    96.250,  430.00,  180.26,   1.87
          256,    128.250,  309.83,  333.34,   2.60,     64.125,  398.96,  129.44,   2.02,   128.250,  563.90,  183.15,   1.43
          320,    160.250,  373.91,  345.13,   2.15,     80.125,  487.61,  132.33,   1.65,   160.250,  686.91,  187.87,   1.17
          512,    256.250,  572.30,  360.58,   1.41,    128.125,  755.02,  136.66,   1.07,   256.250, 1091.90,  188.99,   0.74
------------------------------------------------------------------------------------------------------------------------------
