mixbench-cpu (v0.04-8-ge51e196)
Use "-h" argument to see available options
Working memory size: 128MB
Total threads: 4
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   23.42,    1.43,   5.73,      0.125,   13.08,    1.28,  10.26,     0.250,    9.42,    3.56,  14.25
            1,      0.750,   30.36,    3.32,   4.42,      0.375,   15.95,    3.15,   8.41,     0.750,   21.86,    4.60,   6.14
            2,      1.250,   35.26,    4.76,   3.81,      0.625,   18.39,    4.56,   7.30,     1.250,   22.62,    7.42,   5.93
            3,      1.750,   36.56,    6.42,   3.67,      0.875,   19.15,    6.13,   7.01,     1.750,   25.29,    9.29,   5.31
            4,      2.250,   38.72,    7.80,   3.47,      1.125,   20.11,    7.51,   6.67,     2.250,   26.36,   11.46,   5.09
            6,      3.250,   41.24,   10.58,   3.25,      1.625,   21.97,    9.93,   6.11,     3.250,   28.34,   15.39,   4.74
            8,      4.250,   48.05,   11.87,   2.79,      2.125,   24.80,   11.50,   5.41,     4.250,   31.28,   18.24,   4.29
           12,      6.250,   68.61,   12.23,   1.96,      3.125,   35.93,   11.67,   3.74,     6.250,   49.75,   16.86,   2.70
           16,      8.250,   86.65,   12.78,   1.55,      4.125,   44.48,   12.45,   3.02,     8.250,   69.04,   16.04,   1.94
           20,     10.250,  120.81,   11.39,   1.11,      5.125,   61.40,   11.20,   2.19,    10.250,   84.75,   16.23,   1.58
           24,     12.250,  137.75,   11.94,   0.97,      6.125,   70.06,   11.73,   1.92,    12.250,   96.73,   17.00,   1.39
           28,     14.250,  157.70,   12.13,   0.85,      7.125,   80.08,   11.94,   1.68,    14.250,  109.33,   17.49,   1.23
           32,     16.250,  175.06,   12.46,   0.77,      8.125,   88.67,   12.30,   1.51,    16.250,  117.78,   18.52,   1.14
           40,     20.250,  212.39,   12.80,   0.63,     10.125,  107.39,   12.65,   1.25,    20.250,  143.45,   18.95,   0.94
           48,     24.250,  257.31,   12.65,   0.52,     12.125,  130.15,   12.50,   1.03,    24.250,  163.44,   19.91,   0.82
           56,     28.250,  287.70,   13.18,   0.47,     14.125,  145.31,   13.05,   0.92,    28.250,  184.37,   20.57,   0.73
           64,     32.250,  328.94,   13.16,   0.41,     16.125,  165.71,   13.06,   0.81,    32.250,  208.45,   20.77,   0.64
           80,     40.250,  412.86,   13.09,   0.33,     20.125,  207.87,   12.99,   0.65,    40.250,  255.14,   21.17,   0.53
          104,     52.250,  524.82,   13.36,   0.26,     26.125,  263.74,   13.30,   0.51,    52.250,  324.41,   21.62,   0.41
          120,     60.250,  595.10,   13.59,   0.23,     30.125,  299.02,   13.52,   0.45,    60.250,  371.04,   21.79,   0.36
          128,     64.250,  641.42,   13.44,   0.21,     32.125,  322.04,   13.39,   0.42,    64.250,  395.12,   21.82,   0.34
          160,     80.250,  830.63,   12.97,   0.16,     40.125,  416.53,   12.93,   0.32,    80.250,  537.52,   20.04,   0.25
          192,     96.250,  983.09,   13.14,   0.14,     48.125,  494.56,   13.06,   0.27,    96.250,  649.21,   19.90,   0.21
          256,    128.250, 1288.42,   13.36,   0.10,     64.125,  646.67,   13.31,   0.21,   128.250,  832.99,   20.66,   0.16
          320,    160.250, 1585.42,   13.57,   0.08,     80.125,  795.87,   13.51,   0.17,   160.250, 1034.88,   20.78,   0.13
          512,    256.250, 2536.41,   13.56,   0.05,    128.125, 1258.14,   13.67,   0.11,   256.250, 1637.19,   21.01,   0.08
------------------------------------------------------------------------------------------------------------------------------
