mixbench-cpu (v0.04-8-ge51e196)
Use "-h" argument to see available options
Working memory size: 128MB
Total threads: 4
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   31.77,    1.06,   4.22,      0.125,   31.40,    0.53,   4.27,     0.250,   30.55,    1.10,   4.39
            1,      0.750,   31.94,    3.15,   4.20,      0.375,   30.58,    1.65,   4.39,     0.750,   31.29,    3.22,   4.29
            2,      1.250,   31.77,    5.28,   4.23,      0.625,   30.70,    2.73,   4.37,     1.250,   32.85,    5.11,   4.09
            3,      1.750,   33.15,    7.09,   4.05,      0.875,   31.05,    3.78,   4.32,     1.750,   31.97,    7.35,   4.20
            4,      2.250,   33.80,    8.93,   3.97,      1.125,   31.48,    4.80,   4.26,     2.250,   34.92,    8.65,   3.84
            6,      3.250,   38.32,   11.38,   3.50,      1.625,   32.13,    6.79,   4.18,     3.250,   37.11,   11.76,   3.62
            8,      4.250,   41.38,   13.79,   3.24,      2.125,   31.95,    8.93,   4.20,     4.250,   42.40,   13.45,   3.17
           12,      6.250,   50.63,   16.57,   2.65,      3.125,   32.05,   13.09,   4.19,     6.250,   67.37,   12.45,   1.99
           16,      8.250,   67.75,   16.34,   1.98,      4.125,   33.09,   16.73,   4.06,     8.250,   93.09,   11.89,   1.44
           20,     10.250,   79.20,   17.37,   1.69,      5.125,   38.01,   18.10,   3.53,    10.250,  127.11,   10.82,   1.06
           24,     12.250,   89.57,   18.36,   1.50,      6.125,   44.06,   18.66,   3.05,    12.250,  148.47,   11.07,   0.90
           28,     14.250,  100.34,   19.06,   1.34,      7.125,   48.76,   19.61,   2.75,    14.250,  160.80,   11.89,   0.83
           32,     16.250,  139.23,   15.67,   0.96,      8.125,   67.74,   16.10,   1.98,    16.250,  188.32,   11.58,   0.71
           40,     20.250,  162.02,   16.77,   0.83,     10.125,   78.09,   17.40,   1.72,    20.250,  234.12,   11.61,   0.57
           48,     24.250,  189.91,   17.14,   0.71,     12.125,   92.62,   17.57,   1.45,    24.250,  274.77,   11.85,   0.49
           56,     28.250,  215.85,   17.57,   0.62,     14.125,  102.57,   18.48,   1.31,    28.250,  315.43,   12.02,   0.43
           64,     32.250,  239.84,   18.05,   0.56,     16.125,  121.79,   17.77,   1.10,    32.250,  358.22,   12.08,   0.37
           80,     40.250,  292.55,   18.47,   0.46,     20.125,  146.96,   18.38,   0.91,    40.250,  436.30,   12.38,   0.31
          104,     52.250,  363.80,   19.28,   0.37,     26.125,  178.41,   19.65,   0.75,    52.250,  564.11,   12.43,   0.24
          120,     60.250,  415.88,   19.44,   0.32,     30.125,  200.48,   20.17,   0.67,    60.250,  657.85,   12.29,   0.20
          128,     64.250,  442.08,   19.51,   0.30,     32.125,  212.85,   20.26,   0.63,    64.250,  698.22,   12.35,   0.19
          160,     80.250,  550.40,   19.57,   0.24,     40.125,  280.03,   19.23,   0.48,    80.250,  912.15,   11.81,   0.15
          192,     96.250,  640.24,   20.18,   0.21,     48.125,  322.20,   20.05,   0.42,    96.250, 1094.99,   11.80,   0.12
          256,    128.250,  832.59,   20.67,   0.16,     64.125,  419.40,   20.52,   0.32,   128.250, 1433.66,   12.01,   0.09
          320,    160.250, 1026.44,   20.95,   0.13,     80.125,  517.81,   20.77,   0.26,   160.250, 1790.53,   12.01,   0.07
          512,    256.250, 1600.33,   21.49,   0.08,    128.125,  809.73,   21.24,   0.17,   256.250, 2866.26,   12.00,   0.05
------------------------------------------------------------------------------------------------------------------------------
