mixbench-cpu (v0.04-8-ge51e196)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 8
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   11.55,    5.81,  23.25,      0.125,   11.57,    2.90,  23.20,     0.250,   10.86,    6.18,  24.73
            1,      0.750,   11.56,   17.42,  23.23,      0.375,   11.65,    8.64,  23.05,     0.750,   11.50,   17.51,  23.34
            2,      1.250,   11.66,   28.77,  23.01,      0.625,   11.71,   14.32,  22.92,     1.250,   11.92,   28.14,  22.51
            3,      1.750,   13.04,   36.01,  20.58,      0.875,   13.14,   17.88,  20.43,     1.750,   12.37,   37.97,  21.70
            4,      2.250,   12.84,   47.02,  20.90,      1.125,   12.74,   23.70,  21.07,     2.250,   13.30,   45.43,  20.19
            6,      3.250,   14.01,   62.28,  19.16,      1.625,   14.08,   30.98,  19.07,     3.250,   16.12,   54.13,  16.66
            8,      4.250,   16.89,   67.55,  15.89,      2.125,   17.22,   33.13,  15.59,     4.250,   16.66,   68.49,  16.12
           12,      6.250,   19.65,   85.39,  13.66,      3.125,   20.45,   41.02,  13.13,     6.250,   28.92,   58.01,   9.28
           16,      8.250,   23.80,   93.03,  11.28,      4.125,   23.82,   46.48,  11.27,     8.250,   43.76,   50.61,   6.13
           20,     10.250,   26.85,  102.48,  10.00,      5.125,   29.20,   47.12,   9.19,    10.250,   60.38,   45.57,   4.45
           24,     12.250,   29.98,  109.68,   8.95,      6.125,   34.78,   47.28,   7.72,    12.250,   70.57,   46.60,   3.80
           28,     14.250,   34.80,  109.91,   7.71,      7.125,   40.88,   46.79,   6.57,    14.250,   88.06,   43.44,   3.05
           32,     16.250,   36.70,  118.84,   7.31,      8.125,   47.19,   46.21,   5.69,    16.250,   99.74,   43.74,   2.69
           40,     20.250,   42.76,  127.12,   6.28,     10.125,   59.62,   45.59,   4.50,    20.250,  129.48,   41.98,   2.07
           48,     24.250,   48.12,  135.27,   5.58,     12.125,   72.18,   45.09,   3.72,    24.250,  157.84,   41.24,   1.70
           56,     28.250,   54.18,  139.95,   4.95,     14.125,   84.62,   44.81,   3.17,    28.250,  183.50,   41.33,   1.46
           64,     32.250,   60.69,  142.64,   4.42,     16.125,   97.08,   44.59,   2.77,    32.250,  211.45,   40.94,   1.27
           80,     40.250,   73.15,  147.70,   3.67,     20.125,  122.08,   44.25,   2.20,    40.250,  264.43,   40.86,   1.02
          104,     52.250,   91.69,  152.97,   2.93,     26.125,  159.25,   44.04,   1.69,    52.250,  388.65,   36.09,   0.69
          120,     60.250,  104.23,  155.16,   2.58,     30.125,  184.09,   43.93,   1.46,    60.250,  452.54,   35.74,   0.59
          128,     64.250,  110.69,  155.82,   2.43,     32.125,  196.56,   43.87,   1.37,    64.250,  486.62,   35.44,   0.55
          160,     80.250,  140.01,  153.86,   1.92,     40.125,  255.87,   42.10,   1.05,    80.250,  639.07,   33.71,   0.42
          192,     96.250,  164.78,  156.79,   1.63,     48.125,  305.67,   42.26,   0.88,    96.250,  767.59,   33.66,   0.35
          256,    128.250,  214.63,  160.40,   1.25,     64.125,  405.41,   42.46,   0.66,   128.250, 1033.36,   33.32,   0.26
          320,    160.250,  264.53,  162.61,   1.01,     80.125,  505.17,   42.58,   0.53,   160.250, 1286.20,   33.44,   0.21
          512,    256.250,  414.10,  166.11,   0.65,    128.125,  804.38,   42.76,   0.33,   256.250, 2041.23,   33.70,   0.13
------------------------------------------------------------------------------------------------------------------------------
