mixbench (v0.04-11-g2afd929)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 4060 Ti
CUDA driver version: 12.0
GPU clock rate:      2610 MHz
Memory clock rate:   4500 MHz
Memory bus width:    128 bits
WarpSize:            32
L2 cache size:       32768 KB
Total global mem:    16074 MB
ECC enabled:         No
Compute Capability:  8.9
Total SPs:           4352 (34 MPs x 128 SPs/MP)
Compute throughput:  22717.44 GFlops (theoretical single precision FMAs)
Memory bandwidth:    288.03 GB/sec
-----------------------------------------------------------------------
Total GPU memory 16855793664, free 16726163456
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.56,   59.80, 239.18,      0.125,    0.98,   34.17, 273.35,      0.500,    0.49,  136.25, 272.50,     0.250,    0.49,   68.14, 272.55
            1,      0.750,    0.49,  204.37, 272.50,      0.375,    0.98,  102.40, 273.07,      1.500,    0.49,  409.60, 273.07,     0.750,    0.49,  204.80, 273.07
            2,      1.250,    0.49,  340.62, 272.50,      0.625,    0.98,  170.33, 272.53,      2.500,    0.49,  681.25, 272.50,     1.250,    0.49,  340.62, 272.50
            3,      1.750,    0.49,  476.87, 272.50,      0.875,    0.99,  238.19, 272.22,      3.500,    0.49,  953.75, 272.50,     1.750,    0.49,  476.87, 272.50
            4,      2.250,    0.49,  613.12, 272.50,      1.125,    1.04,  291.11, 258.76,      4.500,    0.49, 1226.64, 272.59,     2.250,    0.49,  613.12, 272.50
            5,      2.750,    0.49,  749.62, 272.59,      1.375,    1.26,  292.31, 212.59,      5.500,    0.49, 1498.74, 272.50,     2.750,    0.50,  741.33, 269.57
            6,      3.250,    0.49,  883.78, 271.93,      1.625,    1.49,  293.18, 180.42,      6.500,    0.49, 1770.90, 272.45,     3.250,    0.50,  876.51, 269.70
            7,      3.750,    0.49, 1021.87, 272.50,      1.875,    1.71,  293.80, 156.69,      7.500,    0.49, 2047.60, 273.01,     3.750,    0.50, 1011.36, 269.70
            8,      4.250,    0.49, 1158.12, 272.50,      2.125,    1.94,  294.12, 138.41,      8.500,    0.49, 2316.24, 272.50,     4.250,    0.50, 1146.21, 269.70
            9,      4.750,    0.49, 1294.37, 272.50,      2.375,    2.16,  294.63, 124.05,      9.500,    0.49, 2588.74, 272.50,     4.750,    0.50, 1283.69, 270.25
           10,      5.250,    0.49, 1430.62, 272.50,      2.625,    2.39,  294.83, 112.32,     10.500,    0.49, 2861.24, 272.50,     5.250,    0.50, 1418.82, 270.25
           11,      5.750,    0.49, 1566.87, 272.50,      2.875,    2.62,  295.09, 102.64,     11.500,    0.49, 3128.25, 272.02,     5.750,    0.50, 1547.56, 269.14
           12,      6.250,    0.49, 1703.12, 272.50,      3.125,    2.84,  295.31,  94.50,     12.500,    0.49, 3406.24, 272.50,     6.250,    0.50, 1685.60, 269.70
           13,      6.750,    0.49, 1839.37, 272.50,      3.375,    3.07,  295.50,  87.56,     13.500,    0.49, 3678.74, 272.50,     6.750,    0.50, 1824.20, 270.25
           14,      7.250,    0.49, 1975.62, 272.50,      3.625,    3.29,  295.67,  81.56,     14.500,    0.49, 3950.98, 272.48,     7.250,    0.50, 1951.28, 269.14
           15,      7.750,    0.49, 2111.87, 272.50,      3.875,    3.52,  295.80,  76.33,     15.500,    0.49, 4214.97, 271.93,     7.750,    0.50, 2086.38, 269.21
           16,      8.250,    0.49, 2244.03, 272.00,      4.125,    3.74,  295.85,  71.72,     16.500,    0.49, 4486.90, 271.93,     8.250,    0.50, 2220.42, 269.14
           17,      8.750,    0.49, 2383.28, 272.38,      4.375,    3.97,  295.97,  67.65,     17.500,    0.49, 4768.73, 272.50,     8.750,    0.50, 2354.99, 269.14
           18,      9.250,    0.49, 2519.47, 272.38,      4.625,    4.19,  296.07,  64.02,     18.500,    0.49, 5030.77, 271.93,     9.250,    0.50, 2494.52, 269.68
           20,     10.250,    0.49, 2793.11, 272.50,      5.125,    4.64,  296.18,  57.79,     20.500,    0.49, 5574.64, 271.93,    10.250,    0.50, 2763.85, 269.64
           22,     11.250,    0.49, 3065.61, 272.50,      5.625,    5.10,  296.33,  52.68,     22.500,    0.49, 6118.51, 271.93,    11.250,    0.50, 3028.62, 269.21
           24,     12.250,    0.49, 3337.46, 272.45,      6.125,    5.55,  296.41,  48.39,     24.500,    0.49, 6662.37, 271.93,    12.250,    0.50, 3303.77, 269.70
           28,     14.250,    0.49, 3883.11, 272.50,      7.125,    6.45,  296.61,  41.63,     28.500,    0.49, 7734.06, 271.37,    14.250,    0.50, 3843.16, 269.70
           32,     16.250,    0.49, 4428.11, 272.50,      8.125,    7.35,  296.73,  36.52,     32.500,    0.49, 8837.84, 271.93,    16.250,    0.50, 4380.58, 269.57
           40,     20.250,    0.49, 5508.80, 272.04,     10.125,    9.16,  296.86,  29.32,     40.500,    0.49,10990.51, 271.37,    20.250,    0.50, 5462.04, 269.73
           48,     24.250,    0.49, 6595.25, 271.97,     12.125,   10.96,  297.06,  24.50,     48.500,    0.49,13161.47, 271.37,    24.250,    0.50, 6542.22, 269.78
           56,     28.250,    0.49, 7684.62, 272.02,     14.125,   12.76,  297.15,  21.04,     56.500,    0.50,15269.21, 270.25,    28.250,    0.50, 7603.25, 269.14
           64,     32.250,    0.49, 8769.86, 271.93,     16.125,   14.56,  297.20,  18.43,     64.500,    0.50,17431.22, 270.25,    32.250,    0.50, 8626.68, 267.49
           80,     40.250,    0.49,10922.67, 271.37,     20.125,   18.17,  297.29,  14.77,     80.500,    0.53,20369.30, 253.03,    40.250,    0.57, 9488.58, 235.74
           96,     48.250,    0.49,13093.63, 271.37,     24.125,   21.78,  297.34,  12.33,     96.500,    0.60,21623.59, 224.08,    48.250,    0.67, 9611.28, 199.20
          128,     64.250,    0.50,17292.35, 269.14,     32.125,   29.00,  297.41,   9.26,    128.500,    0.77,22308.28, 173.61,    64.250,    0.89, 9690.88, 150.83
          192,     96.250,    0.62,20986.78, 218.04,     48.125,   42.27,  305.63,   6.35,    192.500,    1.09,23735.99, 123.30,    96.250,    1.23,10471.07, 108.79
          256,    128.250,    0.75,22803.83, 177.81,     64.125,   53.84,  319.72,   4.99,    256.500,    1.44,23894.79,  93.16,   128.250,    1.64,10506.45,  81.92
          512,    256.250,    1.48,23243.74,  90.71,    128.125,  107.55,  319.78,   2.50,    512.500,    2.85,24101.41,  47.03,   256.250,    3.26,10565.54,  41.23
         1024,    512.250,    2.93,23459.69,  45.80,    256.125,  214.98,  319.81,   1.25,   1024.500,    5.68,24190.82,  23.61,   512.250,    6.50,10576.82,  20.65
         2048,   1024.250,    5.84,23556.85,  23.00,    512.125,  429.84,  319.82,   0.62,   2048.500,   11.34,24241.69,  11.83,  1024.250,   12.99,10584.24,  10.33
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
