mixbench (v0.04-13-g597b700)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 2080 Ti
CUDA driver version: 12.70
GPU clock rate:      1545 MHz
Memory clock rate:   3500 MHz
Memory bus width:    352 bits
WarpSize:            32
L2 cache size:       5632 KB
Total global mem:    22001 MB
ECC enabled:         No
Compute Capability:  7.5
Total SPs:           4352 (68 MPs x 64 SPs/MP)
Compute throughput:  13447.68 GFlops (theoretical single precision FMAs)
Memory bandwidth:    616.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 23070179328, free 22233284608
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.25,  132.65, 530.59,      0.125,    0.49,   68.55, 548.42,      0.500,    0.25,  272.96, 545.92,     0.250,    0.24,  138.77, 555.10
            1,      0.750,    0.25,  409.12, 545.49,      0.375,    0.48,  210.81, 562.16,      1.500,    0.24,  821.88, 547.92,     0.750,    0.25,  410.19, 546.92
            2,      1.250,    0.25,  677.46, 541.97,      0.625,    0.59,  285.25, 456.40,      2.500,    0.25, 1367.47, 546.99,     1.250,    0.24,  699.61, 559.69
            3,      1.750,    0.24,  978.80, 559.32,      0.875,    0.80,  294.46, 336.53,      3.500,    0.24, 1954.48, 558.42,     1.750,    0.25,  922.58, 527.19
            4,      2.250,    0.25, 1227.52, 545.57,      1.125,    1.03,  293.75, 261.11,      4.500,    0.26, 2356.06, 523.57,     2.250,    0.26, 1155.53, 513.57
            5,      2.750,    0.26, 1407.31, 511.75,      1.375,    1.25,  294.97, 214.52,      5.500,    0.26, 2798.24, 508.77,     2.750,    0.26, 1429.82, 519.93
            6,      3.250,    0.26, 1705.00, 524.62,      1.625,    1.47,  296.19, 182.27,      6.500,    0.25, 3521.89, 541.83,     3.250,    0.26, 1680.41, 517.05
            7,      3.750,    0.25, 2025.06, 540.02,      1.875,    1.71,  294.68, 157.16,      7.500,    0.25, 4061.10, 541.48,     3.750,    0.26, 1960.69, 522.85
            8,      4.250,    0.25, 2285.36, 537.73,      2.125,    1.92,  297.68, 140.08,      8.500,    0.24, 4744.69, 558.20,     4.250,    0.26, 2172.82, 511.25
            9,      4.750,    0.25, 2530.86, 532.81,      2.375,    2.13,  298.71, 125.77,      9.500,    0.25, 5047.62, 531.33,     4.750,    0.26, 2417.54, 508.96
           10,      5.250,    0.24, 2890.54, 550.58,      2.625,    2.35,  299.37, 114.04,     10.500,    0.25, 5636.78, 536.84,     5.250,    0.27, 2647.92, 504.37
           11,      5.750,    0.25, 3141.49, 546.35,      2.875,    2.59,  298.13, 103.70,     11.500,    0.25, 6127.35, 532.81,     5.750,    0.27, 2881.05, 501.05
           12,      6.250,    0.25, 3410.67, 545.71,      3.125,    2.80,  299.95,  95.98,     12.500,    0.26, 6391.42, 511.31,     6.250,    0.27, 3159.50, 505.52
           13,      6.750,    0.27, 3395.89, 503.10,      3.375,    3.02,  300.14,  88.93,     13.500,    0.25, 7162.04, 530.52,     6.750,    0.27, 3349.69, 496.25
           14,      7.250,    0.25, 3959.47, 546.13,      3.625,    3.24,  300.34,  82.85,     14.500,    0.26, 7593.63, 523.70,     7.250,    0.27, 3596.54, 496.07
           15,      7.750,    0.25, 4158.35, 536.56,      3.875,    3.46,  301.03,  77.69,     15.500,    0.25, 8180.66, 527.78,     7.750,    0.27, 3788.56, 488.85
           16,      8.250,    0.25, 4475.88, 542.53,      4.125,    3.68,  301.15,  73.01,     16.500,    0.25, 8720.52, 528.52,     8.250,    0.27, 4033.45, 488.90
           17,      8.750,    0.26, 4438.82, 507.29,      4.375,    4.34,  270.51,  61.83,     17.500,    0.24, 9781.49, 558.94,     8.750,    0.27, 4311.58, 492.75
           18,      9.250,    0.26, 4733.11, 511.69,      4.625,    4.56,  272.36,  58.89,     18.500,    0.26, 9606.86, 519.29,     9.250,    0.28, 4448.72, 480.94
           20,     10.250,    0.25, 5559.50, 542.39,      5.125,    4.56,  301.58,  58.84,     20.500,    0.26,10494.72, 511.94,    10.250,    0.28, 4851.23, 473.29
           22,     11.250,    0.25, 6103.47, 542.53,      5.625,    5.00,  301.74,  53.64,     22.500,    0.26,11701.41, 520.06,    11.250,    0.29, 5246.38, 466.34
