mixbench (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 3060 Ti
CUDA driver version: 12.30
GPU clock rate:      1845 MHz
Memory clock rate:   3500 MHz
Memory bus width:    256 bits
WarpSize:            32
L2 cache size:       3072 KB
Total global mem:    7973 MB
ECC enabled:         No
Compute Capability:  8.6
Total SPs:           4864 (38 MPs x 128 SPs/MP)
Compute throughput:  17948.16 GFlops (theoretical single precision FMAs)
Memory bandwidth:    448.06 GB/sec
-----------------------------------------------------------------------
Total GPU memory 8360755200, free 8217362432
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.33,  102.18, 408.72,      0.125,    0.64,   52.51, 420.10,      0.500,    0.32,  207.39, 414.78,     0.250,    0.32,  104.03, 416.10
            1,      0.750,    0.32,  311.43, 415.24,      0.375,    0.64,  156.78, 418.09,      1.500,    0.32,  620.58, 413.72,     0.750,    0.32,  310.11, 413.48
            2,      1.250,    0.32,  516.85, 413.48,      0.625,    0.78,  214.21, 342.74,      2.500,    0.32, 1037.68, 415.07,     1.250,    0.32,  518.48, 414.78
            3,      1.750,    0.32,  726.52, 415.15,      0.875,    1.08,  217.01, 248.01,      3.500,    0.32, 1447.17, 413.48,     1.750,    0.32,  725.87, 414.78
            4,      2.250,    0.32,  933.27, 414.78,      1.125,    1.39,  217.53, 193.36,      4.500,    0.32, 1860.64, 413.48,     2.250,    0.32,  932.16, 414.29
            5,      2.750,    0.32, 1141.34, 415.03,      1.375,    1.68,  219.52, 159.65,      5.500,    0.32, 2274.12, 413.48,     2.750,    0.33, 1127.39, 409.96
            6,      3.250,    0.32, 1344.59, 413.72,      1.625,    1.88,  231.51, 142.47,      6.500,    0.33, 2680.99, 412.46,     3.250,    0.33, 1332.50, 410.00
            7,      3.750,    0.32, 1550.54, 413.48,      1.875,    2.17,  231.81, 123.63,      7.500,    0.32, 3110.89, 414.78,     3.750,    0.33, 1537.35, 409.96
            8,      4.250,    0.32, 1762.84, 414.78,      2.125,    2.45,  232.59, 109.45,      8.500,    0.32, 3517.32, 413.80,     4.250,    0.33, 1730.66, 407.21
