mixbench (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 3070 Laptop GPU
CUDA driver version: 12.40
GPU clock rate:      1560 MHz
Memory clock rate:   3500 MHz
Memory bus width:    256 bits
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    15889 MB
ECC enabled:         No
Compute Capability:  8.6
Total SPs:           5120 (40 MPs x 128 SPs/MP)
Compute throughput:  15974.40 GFlops (theoretical single precision FMAs)
Memory bandwidth:    448.06 GB/sec
-----------------------------------------------------------------------
Total GPU memory 16661151744, free 15746138112
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.32,  104.69, 418.76,      0.125,    0.63,   53.46, 427.64,      0.500,    0.32,  212.78, 425.56,     0.250,    0.32,  104.36, 417.43
            1,      0.750,    0.32,  311.09, 414.78,      0.375,    0.63,  158.81, 423.50,      1.500,    0.32,  633.84, 422.56,     0.750,    0.32,  316.09, 421.45
            2,      1.250,    0.32,  520.13, 416.10,      0.625,    0.79,  211.13, 337.81,      2.500,    0.32, 1060.45, 424.18,     1.250,    0.32,  530.23, 424.18
            3,      1.750,    0.32,  732.83, 418.76,      0.875,    1.10,  214.17, 244.77,      3.500,    0.32, 1475.09, 421.45,     1.750,    0.32,  728.18, 416.10
            4,      2.250,    0.33,  921.51, 409.56,      1.125,    1.40,  215.58, 191.63,      4.500,    0.33, 1848.98, 410.88,     2.250,    0.32,  942.21, 418.76
            5,      2.750,    0.33, 1133.48, 412.18,      1.375,    1.72,  214.81, 156.22,      5.500,    0.32, 2303.18, 418.76,     2.750,    0.32, 1147.92, 417.43
            6,      3.250,    0.33, 1331.20, 409.60,      1.625,    2.02,  216.35, 133.14,      6.500,    0.33, 2677.83, 411.97,     3.250,    0.33, 1339.57, 412.18
            7,      3.750,    0.35, 1454.20, 387.79,      1.875,    2.67,  188.61, 100.59,      7.500,    0.32, 3130.70, 417.43,     3.750,    0.32, 1550.54, 413.48
            8,      4.250,    0.33, 1703.54, 400.83,      2.125,    2.62,  218.03, 102.60,      8.500,    0.34, 3395.07, 399.42,     4.250,    0.34, 1682.95, 395.99
            9,      4.750,    0.33, 1909.79, 402.06,      2.375,    2.92,  218.45,  91.98,      9.500,    0.33, 3831.34, 403.30,     4.750,    0.33, 1957.84, 412.18
           10,      5.250,    0.32, 2198.49, 418.76,      2.625,    3.23,  218.25,  83.14,     10.500,    0.32, 4369.07, 416.10,     5.250,    0.33, 2150.40, 409.60
           11,      5.750,    0.32, 2415.59, 420.10,      2.875,    4.11,  187.76,  65.31,     11.500,    0.37, 4118.38, 358.12,     5.750,    0.35, 2236.39, 388.94
           12,      6.250,    0.33, 2512.88, 402.06,      3.125,    4.52,  185.51,  59.36,     12.500,    0.32, 5234.50, 418.76,     6.250,    0.33, 2552.02, 408.32
           13,      6.750,    0.33, 2730.67, 404.54,      3.375,    5.67,  159.70,  47.32,     13.500,    0.32, 5617.37, 416.10,     6.750,    0.33, 2782.19, 412.18
           14,      7.250,    0.34, 2853.67, 393.61,      3.625,    4.78,  203.70,  56.19,     14.500,    0.33, 5902.31, 407.06,     7.250,    0.32, 3007.19, 414.78
           15,      7.750,    0.35, 2997.04, 386.71,      3.875,    6.43,  161.83,  41.76,     15.500,    0.39, 5346.36, 344.93,     7.750,    0.33, 3174.40, 409.60
           16,      8.250,    0.34, 3296.78, 399.61,      4.125,    5.38,  205.66,  49.86,     16.500,    0.33, 6695.63, 405.80,     8.250,    0.33, 3368.67, 408.32
           17,      8.750,    0.33, 3572.83, 408.32,      4.375,    5.35,  219.37,  50.14,     17.500,    0.34, 6950.79, 397.19,     8.750,    0.34, 3444.08, 393.61
           18,      9.250,    0.32, 3836.76, 414.78,      4.625,    6.92,  179.48,  38.81,     18.500,    0.35, 7028.50, 379.92,     9.250,    0.33, 3742.02, 404.54
           20,     10.250,    0.34, 4010.41, 391.26,      5.125,    7.07,  194.60,  37.97,     20.500,    0.34, 7996.95, 390.10,    10.250,    0.34, 3998.48, 390.10
           22,     11.250,    0.32, 4711.05, 418.76,      5.625,    8.07,  187.01,  33.25,     22.500,    0.33, 9018.72, 400.83,    11.250,    0.34, 4507.20, 400.64
           24,     12.250,    0.34, 4792.93, 391.26,      6.125,    7.82,  210.19,  34.32,     24.500,    0.34, 9672.48, 394.80,    12.250,    0.34, 4880.34, 398.40
           28,     14.250,    0.32, 5967.34, 418.76,      7.125,   11.10,  172.32,  24.19,     28.500,    0.36,10642.60, 373.42,    14.250,    0.34, 5558.86, 390.10
           32,     16.250,    0.34, 6377.01, 392.43,      8.125,   11.27,  193.54,  23.82,     32.500,    0.37,11767.51, 362.08,    16.250,    0.37, 5966.16, 367.15
           40,     20.250,    0.33, 8192.00, 404.54,     10.125,   12.72,  213.74,  21.11,     40.500,    0.33,16645.69, 411.00,    20.250,    0.37, 7352.38, 363.08
           48,     24.250,    0.33, 9779.99, 403.30,     12.125,   14.21,  229.03,  18.89,     48.500,    0.43,15065.08, 310.62,    24.250,    0.42, 7771.38, 320.47
           56,     28.250,    0.35,10795.29, 382.13,     14.125,   15.59,  243.28,  17.22,     56.500,    0.48,15960.28, 282.48,    28.250,    0.48, 7928.87, 280.67
           64,     32.250,    0.34,12655.90, 392.43,     16.125,   18.76,  230.72,  14.31,     64.500,    0.54,16011.64, 248.24,    32.250,    0.54, 7990.68, 247.77
           80,     40.250,    0.41,13288.79, 330.16,     20.125,   22.15,  243.94,  12.12,     80.500,    0.66,16435.04, 204.16,    40.250,    0.66, 8131.63, 202.03
           96,     48.250,    0.46,13991.65, 289.98,     24.125,   27.70,  233.81,   9.69,     96.500,    0.77,16887.11, 175.00,    48.250,    0.79, 8170.83, 169.34
          128,     64.250,    0.58,14748.47, 229.55,     32.125,   36.14,  238.60,   7.43,    128.500,    1.01,16995.71, 132.26,    64.250,    1.06, 8105.27, 126.15
          192,     96.250,    0.87,14894.55, 154.75,     48.125,   54.97,  235.01,   4.88,    192.500,    1.51,17140.87,  89.04,    96.250,    1.54, 8410.45,  87.38
          256,    128.250,    0.98,17602.08, 137.25,     64.125,   74.72,  230.37,   3.59,    256.500,    1.81,18983.61,  74.01,   128.250,    2.06, 8371.51,  65.27
          512,    256.250,    1.88,18334.88,  71.55,    128.125,  144.70,  237.68,   1.86,    512.500,    4.76,14439.90,  28.18,   256.250,    4.13, 8321.90,  32.48
         1024,    512.250,    3.82,17990.79,  35.12,    256.125,  295.66,  232.54,   0.91,   1024.500,    7.62,18034.28,  17.60,   512.250,    8.11, 8475.34,  16.55
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
