mixbench (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 3080 Ti
CUDA driver version: 12.40
GPU clock rate:      1665 MHz
Memory clock rate:   4750 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       6144 KB
Total global mem:    11825 MB
ECC enabled:         No
Compute Capability:  8.6
Total SPs:           10240 (80 MPs x 128 SPs/MP)
Compute throughput:  34099.20 GFlops (theoretical single precision FMAs)
Memory bandwidth:    912.10 GB/sec
-----------------------------------------------------------------------
Total GPU memory 12399476736, free 11500781568
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.17,  198.59, 794.38,      0.125,    0.32,  104.69, 837.52,      0.500,    0.16,  409.60, 819.20,     0.250,    0.16,  204.56, 818.24
            1,      0.750,    0.16,  610.58, 814.11,      0.375,    0.33,  309.13, 824.35,      1.500,    0.17, 1214.80, 809.87,     0.750,    0.16,  614.40, 819.20
            2,      1.250,    0.17, 1011.36, 809.09,      0.625,    0.40,  415.84, 665.34,      2.500,    0.16, 2034.88, 813.95,     1.250,    0.17, 1005.15, 804.12
            3,      1.750,    0.16, 1424.70, 814.11,      0.875,    0.56,  422.50, 482.85,      3.500,    0.16, 2849.39, 814.11,     1.750,    0.16, 1424.70, 814.11
            4,      2.250,    0.17, 1820.80, 809.24,      1.125,    0.71,  426.17, 378.82,      4.500,    0.17, 3618.55, 804.12,     2.250,    0.17, 1799.27, 799.68
            5,      2.750,    0.17, 2226.71, 809.71,      1.375,    0.86,  429.10, 312.08,      5.500,    0.17, 4369.89, 794.53,     2.750,    0.17, 2185.78, 794.83
            6,      3.250,    0.17, 2581.72, 794.38,      1.625,    1.01,  431.16, 265.33,      6.500,    0.17, 5194.93, 799.22,     3.250,    0.17, 2581.72, 794.38
            7,      3.750,    0.17, 3015.46, 804.12,      1.875,    1.17,  431.58, 230.18,      7.500,    0.17, 6034.39, 804.59,     3.750,    0.17, 2960.96, 789.59
            8,      4.250,    0.17, 3417.52, 804.12,      2.125,    1.32,  433.52, 204.01,      8.500,    0.17, 6835.04, 804.12,     4.250,    0.17, 3315.81, 780.19
            9,      4.750,    0.17, 3843.16, 809.09,      2.375,    1.47,  433.86, 182.68,      9.500,    0.17, 7592.59, 799.22,     4.750,    0.17, 3729.49, 785.16
           10,      5.250,    0.16, 4300.80, 819.20,      2.625,    1.62,  435.25, 165.81,     10.500,    0.18, 7955.24, 757.64,     5.250,    0.17, 4096.00, 780.19
           11,      5.750,    0.17, 4652.25, 809.09,      2.875,    1.77,  435.39, 151.44,     11.500,    0.17, 8929.01, 776.44,     5.750,    0.17, 4540.14, 789.59
           12,      6.250,    0.17, 4995.12, 799.22,      3.125,    1.92,  435.98, 139.51,     12.500,    0.17,10051.53, 804.12,     6.250,    0.17, 4876.19, 780.19
