mixbench (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 4060 Laptop GPU
CUDA driver version: 12.40
GPU clock rate:      2295 MHz
Memory clock rate:   4000 MHz
Memory bus width:    128 bits
WarpSize:            32
L2 cache size:       32768 KB
Total global mem:    8187 MB
ECC enabled:         No
Compute Capability:  8.9
Total SPs:           3072 (24 MPs x 128 SPs/MP)
Compute throughput:  14100.48 GFlops (theoretical single precision FMAs)
Memory bandwidth:    256.03 GB/sec
-----------------------------------------------------------------------
Total GPU memory 4290248704, free 3148873728
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,,
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.61,   54.73, 218.91,      0.125,    1.08,   31.18, 249.42,      0.500,    0.54,  123.89, 247.77,     0.250,    0.54,   62.15, 248.58
            1,      0.750,    0.54,  186.19, 248.26,      0.375,    1.08,   93.28, 248.75,      1.500,    0.54,  372.36, 248.24,     0.750,    0.54,  186.24, 248.32
            2,      1.250,    0.54,  310.39, 248.32,      0.625,    1.08,  155.00, 248.01,      2.500,    0.54,  620.61, 248.24,     1.250,    0.54,  310.34, 248.27
            3,      1.750,    0.54,  434.42, 248.24,      0.875,    1.30,  180.19, 205.93,      3.500,    0.54,  868.85, 248.24,     1.750,    0.54,  434.42, 248.24
            4,      2.250,    0.54,  559.41, 248.63,      1.125,    1.67,  181.26, 161.12,      4.500,    0.54, 1117.09, 248.24,     2.250,    0.54,  558.55, 248.24
            5,      2.750,    0.54,  680.09, 247.31,      1.375,    2.03,  182.04, 132.40,      5.500,    0.54, 1363.48, 247.90,     2.750,    0.54,  680.13, 247.32
            6,      3.250,    0.54,  806.79, 248.24,      1.625,    2.39,  182.51, 112.32,      6.500,    0.54, 1613.48, 248.23,     3.250,    0.54,  805.26, 247.77
            7,      3.750,    0.54,  930.91, 248.24,      1.875,    2.75,  182.86,  97.52,      7.500,    0.54, 1858.30, 247.77,     3.750,    0.54,  927.40, 247.31
            8,      4.250,    0.55, 1045.13, 245.91,      2.125,    3.11,  183.18,  86.20,      8.500,    0.54, 2109.69, 248.20,     4.250,    0.54, 1051.05, 247.31
            9,      4.750,    0.54, 1179.15, 248.24,      2.375,    3.48,  183.34,  77.19,      9.500,    0.54, 2358.30, 248.24,     4.750,    0.54, 1172.49, 246.84
           10,      5.250,    0.54, 1303.27, 248.24,      2.625,    3.84,  183.52,  69.91,     10.500,    0.54, 2603.16, 247.92,     5.250,    0.54, 1300.81, 247.77
           11,      5.750,    0.54, 1422.43, 247.38,      2.875,    4.20,  183.69,  63.89,     11.500,    0.54, 2854.79, 248.24,     5.750,    0.54, 1422.01, 247.31
           12,      6.250,    0.54, 1551.52, 248.24,      3.125,    4.56,  183.80,  58.81,     12.500,    0.54, 3101.38, 248.11,     6.250,    0.54, 1546.39, 247.42
           13,      6.750,    0.54, 1678.52, 248.67,      3.375,    4.93,  183.87,  54.48,     13.500,    0.54, 3351.27, 248.24,     6.750,    0.54, 1671.68, 247.66
           14,      7.250,    0.54, 1799.86, 248.26,      3.625,    5.29,  183.99,  50.76,     14.500,    0.54, 3593.14, 247.80,     7.250,    0.54, 1793.18, 247.33
           15,      7.750,    0.54, 1924.45, 248.32,      3.875,    5.65,  184.06,  47.50,     15.500,    0.54, 3833.24, 247.31,     7.750,    0.54, 1913.01, 246.84
           16,      8.250,    0.54, 2048.00, 248.24,      4.125,    6.01,  184.09,  44.63,     16.500,    0.54, 4093.33, 248.08,     8.250,    0.54, 2039.79, 247.25
           17,      8.750,    0.54, 2172.12, 248.24,      4.375,    6.38,  184.18,  42.10,     17.500,    0.54, 4328.10, 247.32,     8.750,    0.54, 2160.87, 246.96
           18,      9.250,    0.54, 2295.97, 248.21,      4.625,    6.74,  184.26,  39.84,     18.500,    0.54, 4583.80, 247.77,     9.250,    0.54, 2284.34, 246.96
           20,     10.250,    0.54, 2544.64, 248.26,      5.125,    7.46,  184.33,  35.97,     20.500,    0.54, 5079.35, 247.77,    10.250,    0.54, 2530.11, 246.84
           22,     11.250,    0.54, 2792.73, 248.24,      5.625,    8.19,  184.39,  32.78,     22.500,    0.54, 5574.90, 247.77,    11.250,    0.54, 2777.77, 246.91
           24,     12.250,    0.54, 3040.97, 248.24,      6.125,    8.91,  184.47,  30.12,     24.500,    0.54, 6058.99, 247.31,    12.250,    0.54, 3018.64, 246.42
           28,     14.250,    0.54, 3537.45, 248.24,      7.125,   10.36,  184.58,  25.91,     28.500,    0.55, 6941.39, 243.56,    14.250,    0.55, 3497.71, 245.45
           32,     16.250,    0.54, 4033.94, 248.24,      8.125,   11.81,  184.63,  22.72,     32.500,    0.61, 7099.73, 218.45,    16.250,    0.55, 3981.16, 244.99
           40,     20.250,    0.54, 5011.19, 247.47,     10.125,   13.64,  199.19,  19.67,     40.500,    0.56, 9736.30, 240.40,    20.250,    0.55, 4915.20, 242.73
           48,     24.250,    0.54, 6008.50, 247.77,     12.125,   16.33,  199.31,  16.44,     48.500,    0.56,11558.17, 238.31,    24.250,    0.57, 5747.73, 237.02
           56,     28.250,    0.54, 7002.07, 247.86,     14.125,   19.02,  199.38,  14.12,     56.500,    0.56,13513.81, 239.18,    28.250,    0.61, 6172.91, 218.51
           64,     32.250,    0.54, 7975.61, 247.31,     16.125,   21.71,  199.42,  12.37,     64.500,    0.62,14047.80, 217.80,    32.250,    0.68, 6335.06, 196.44
           80,     40.250,    0.54, 9936.48, 246.87,     20.125,   27.08,  199.46,   9.91,     80.500,    0.75,14414.34, 179.06,    40.250,    0.84, 6433.72, 159.84
           96,     48.250,    0.54,11910.03, 246.84,     24.125,   32.46,  199.51,   8.27,     96.500,    0.89,14522.80, 150.50,    48.250,    1.00, 6479.74, 134.30
          128,     64.250,    0.61,14034.17, 218.43,     32.125,   43.23,  199.49,   6.21,    128.500,    1.16,14879.58, 115.79,    64.250,    1.32, 6521.72, 101.51
          192,     96.250,    0.92,13972.30, 145.17,     48.125,   64.74,  199.56,   4.15,    192.500,    1.75,14772.46,  76.74,    96.250,    1.97, 6557.86,  68.13
          256,    128.250,    1.22,14141.63, 110.27,     64.125,   86.24,  199.59,   3.11,    256.500,    2.31,14909.08,  58.13,   128.250,    2.62, 6576.35,  51.28
          512,    256.250,    2.37,14483.48,  56.52,    128.125,  172.27,  199.64,   1.56,    512.500,    4.57,15037.92,  29.34,   256.250,    5.21, 6605.15,  25.78
         1024,    512.250,    4.70,14634.18,  28.57,    256.125,  344.46,  199.60,   0.78,   1024.500,    9.10,15103.33,  14.74,   512.250,   10.41, 6605.83,  12.90
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
