mixbench (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 4090
CUDA driver version: 12.20
GPU clock rate:      2535 MHz
Memory clock rate:   5250 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       73728 KB
Total global mem:    24195 MB
ECC enabled:         No
Compute Capability:  8.9
Total SPs:           16384 (128 MPs x 128 SPs/MP)
Compute throughput:  83066.88 GFlops (theoretical single precision FMAs)
Memory bandwidth:    1008.10 GB/sec
-----------------------------------------------------------------------
Total GPU memory 25370427392, free 24843124736
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.19,  174.30, 697.19,      0.125,    0.28,  117.79, 942.33,      0.500,    0.14,  465.93, 931.86,     0.250,    0.14,  234.06, 936.23
            1,      0.750,    0.14,  703.43, 937.90,      0.375,    0.28,  353.61, 942.96,      1.500,    0.14, 1395.00, 930.00,     0.750,    0.14,  705.95, 941.27
            2,      1.250,    0.14, 1171.33, 937.07,      0.625,    0.29,  574.75, 919.60,      2.500,    0.14, 2328.10, 931.24,     1.250,    0.14, 1175.27, 940.22
            3,      1.750,    0.14, 1641.70, 938.11,      0.875,    0.29,  807.66, 923.04,      3.500,    0.14, 3276.80, 936.23,     1.750,    0.14, 1638.40, 936.23
            4,      2.250,    0.14, 2121.67, 942.96,      1.125,    0.30, 1010.62, 898.33,      4.500,    0.14, 4213.03, 936.23,     2.250,    0.14, 2107.93, 936.86
            5,      2.750,    0.14, 2579.23, 937.90,      1.375,    0.35, 1057.03, 768.75,      5.500,    0.14, 5149.26, 936.23,     2.750,    0.14, 2575.78, 936.65
            6,      3.250,    0.14, 3057.07, 940.64,      1.625,    0.41, 1063.22, 654.29,      6.500,    0.14, 6086.84, 936.44,     3.250,    0.14, 3042.74, 936.23
            7,      3.750,    0.14, 3510.86, 936.23,      1.875,    0.47, 1066.20, 568.64,      7.500,    0.14, 7021.71, 936.23,     3.750,    0.14, 3510.86, 936.23
            8,      4.250,    0.14, 3980.75, 936.65,      2.125,    0.53, 1069.21, 503.16,      8.500,    0.14, 7941.99, 934.35,     4.250,    0.15, 3922.93, 923.04
            9,      4.750,    0.14, 4447.09, 936.23,      2.375,    0.59, 1071.82, 451.29,      9.500,    0.14, 8894.17, 936.23,     4.750,    0.14, 4445.10, 935.81
           10,      5.250,    0.14, 4915.20, 936.23,      2.625,    0.66, 1075.20, 409.60,     10.500,    0.14, 9830.40, 936.23,     5.250,    0.14, 4915.20, 936.23
           11,      5.750,    0.14, 5385.72, 936.65,      2.875,    0.72, 1076.66, 374.49,     11.500,    0.14,10766.63, 936.23,     5.750,    0.14, 5357.01, 931.65
           12,      6.250,    0.14, 5852.74, 936.44,      3.125,    0.78, 1077.89, 344.93,     12.500,    0.14,11710.70, 936.86,     6.250,    0.15, 5742.48, 918.80
           13,      6.750,    0.14, 6319.54, 936.23,      3.375,    0.84, 1078.95, 319.69,     13.500,    0.14,12557.80, 930.21,     6.750,    0.14, 6319.54, 936.23
           14,      7.250,    0.14, 6787.66, 936.23,      3.625,    0.90, 1079.85, 297.89,     14.500,    0.14,13479.04, 929.59,     7.250,    0.14, 6787.66, 936.23
           15,      7.750,    0.14, 7255.77, 936.23,      3.875,    0.96, 1080.65, 278.88,     15.500,    0.14,14408.62, 929.59,     7.750,    0.14, 7221.92, 931.86
           16,      8.250,    0.14, 7732.52, 937.27,      4.125,    1.02, 1081.34, 262.14,     16.500,    0.14,15427.11, 934.98,     8.250,    0.15, 7575.09, 918.19
           17,      8.750,    0.15, 8020.14, 916.59,      4.375,    1.09, 1081.96, 247.31,     17.500,    0.14,16384.00, 936.23,     8.750,    0.14, 8170.12, 933.73
           18,      9.250,    0.14, 8650.46, 935.18,      4.625,    1.15, 1082.54, 234.06,     18.500,    0.14,17239.42, 931.86,     9.250,    0.14, 8660.11, 936.23
           20,     10.250,    0.14, 9596.34, 936.23,      5.125,    1.27, 1084.33, 211.58,     20.500,    0.14,19060.79, 929.79,    10.250,    0.15, 9411.47, 918.19
           22,     11.250,    0.14,10532.57, 936.23,      5.625,    1.39, 1084.51, 192.80,     22.500,    0.14,20920.38, 929.79,    11.250,    0.14,10455.55, 929.38
           24,     12.250,    0.14,11468.80, 936.23,      6.125,    1.51, 1085.62, 177.24,     24.500,    0.14,22937.60, 936.23,    12.250,    0.15,11169.61, 911.81
           28,     14.250,    0.14,13341.26, 936.23,      7.125,    1.76, 1086.19, 152.45,     28.500,    0.14,26434.69, 927.53,    14.250,    0.15,12914.61, 906.29
           32,     16.250,    0.14,15139.37, 931.65,      8.125,    2.01, 1086.94, 133.78,     32.500,    0.15,29998.87, 923.04,    16.250,    0.15,14791.11, 910.22
           40,     20.250,    0.14,18824.17, 929.59,     10.125,    2.50, 1088.24, 107.48,     40.500,    0.15,37333.91, 921.83,    20.250,    0.15,18328.58, 905.12
           48,     24.250,    0.14,22567.53, 930.62,     12.125,    2.99, 1089.68,  89.87,     48.500,    0.15,43888.62, 904.92,    24.250,    0.15,21751.90, 896.99
           56,     28.250,    0.15,26139.22, 925.28,     14.125,    3.48, 1090.23,  77.18,     56.500,    0.15,51472.23, 911.01,    28.250,    0.15,25361.53, 897.75
           64,     32.250,    0.14,29853.52, 925.69,     16.125,    3.97, 1090.58,  67.63,     64.500,    0.15,58304.44, 903.94,    32.250,    0.15,28585.44, 886.37
           80,     40.250,    0.15,36892.64, 916.59,     20.125,    4.95, 1090.95,  54.21,     80.500,    0.16,69602.45, 864.63,    40.250,    0.16,33180.18, 824.35
           96,     48.250,    0.15,43918.22, 910.22,     24.125,    5.93, 1091.51,  45.24,     96.500,    0.18,73231.47, 758.88,    48.250,    0.19,34001.20, 704.69
          128,     64.250,    0.15,57791.99, 899.49,     32.125,    7.90, 1091.70,  33.98,    128.500,    0.22,77616.37, 604.02,    64.250,    0.25,34799.08, 541.62
          192,     96.250,    0.17,74168.98, 770.59,     48.125,   11.83, 1092.09,  22.69,    192.500,    0.32,80877.84, 420.14,    96.250,    0.37,35344.23, 367.21
          256,    128.250,    0.23,74380.46, 579.96,     64.125,   15.76, 1092.41,  17.04,    256.500,    0.43,80358.45, 313.29,   128.250,    0.48,35645.05, 277.93
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
