mixbench (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              Tesla P4
CUDA driver version: 12.30
GPU clock rate:      1113 MHz
Memory clock rate:   1501 MHz
Memory bus width:    256 bits
WarpSize:            32
L2 cache size:       2048 KB
Total global mem:    7606 MB
ECC enabled:         Yes
Compute Capability:  6.1
Total SPs:           2560 (20 MPs x 128 SPs/MP)
Compute throughput:  5701.12 GFlops (theoretical single precision FMAs)
Memory bandwidth:    192.19 GB/sec
-----------------------------------------------------------------------
Total GPU memory 7975862272, free 7864582144
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.94,   35.73, 142.94,      0.125,    1.81,   18.49, 147.94,      0.500,    1.21,   55.49, 110.98,     0.250,    0.94,   35.81, 143.25
            1,      0.750,    0.94,  107.44, 143.25,      0.375,    1.82,   55.32, 147.52,      1.500,    3.11,   64.67,  43.12,     0.750,    0.94,  107.21, 142.94
            2,      1.250,    0.94,  178.67, 142.94,      0.625,    1.83,   91.84, 146.94,      2.500,    5.02,   66.87,  26.75,     1.250,    0.94,  178.47, 142.78
            3,      1.750,    0.94,  249.86, 142.78,      0.875,    1.83,  128.07, 146.37,      3.500,    6.92,   67.86,  19.39,     1.750,    0.95,  248.51, 142.01
            4,      2.250,    0.94,  320.91, 142.62,      1.125,    2.22,  135.84, 120.75,      4.500,    8.83,   68.41,  15.20,     2.250,    0.95,  318.82, 141.70
            5,      2.750,    0.94,  392.64, 142.78,      1.375,    2.70,  136.64,  99.37,      5.500,   10.76,   68.64,  12.48,     2.750,    0.93,  396.97, 144.35
            6,      3.250,    0.94,  464.03, 142.78,      1.625,    3.18,  137.24,  84.45,      6.500,   12.66,   68.90,  10.60,     3.250,    0.93,  467.60, 143.88
            7,      3.750,    0.94,  534.84, 142.62,      1.875,    3.64,  138.22,  73.72,      7.500,   14.55,   69.20,   9.23,     3.750,    0.94,  534.84, 142.62
            8,      4.250,    0.94,  605.50, 142.47,      2.125,    4.11,  138.71,  65.27,      8.500,   16.45,   69.35,   8.16,     4.250,    0.95,  599.63, 141.09
            9,      4.750,    0.94,  676.00, 142.31,      2.375,    4.61,  138.26,  58.22,      9.500,   18.36,   69.45,   7.31,     4.750,    0.96,  661.63, 139.29
           10,      5.250,    0.94,  748.78, 142.62,      2.625,    4.92,  143.12,  54.52,     10.500,   18.42,   76.51,   7.29,     5.250,    0.95,  739.92, 140.94
           11,      5.750,    0.94,  821.88, 142.94,      2.875,    5.05,  152.69,  53.11,     11.500,   20.15,   76.59,   6.66,     5.750,    0.96,  802.62, 139.59
           12,      6.250,    0.94,  892.37, 142.78,      3.125,    5.50,  152.55,  48.82,     12.500,   21.99,   76.29,   6.10,     6.250,    0.98,  855.11, 136.82
           13,      6.750,    0.94,  960.63, 142.31,      3.375,    5.92,  153.12,  45.37,     13.500,   23.73,   76.34,   5.66,     6.750,    1.00,  910.22, 134.85
           14,      7.250,    0.94, 1034.03, 142.62,      3.625,    6.35,  153.17,  42.25,     14.500,   25.47,   76.40,   5.27,     7.250,    1.00,  970.66, 133.88
           15,      7.750,    0.94, 1102.94, 142.31,      3.875,    6.79,  153.31,  39.56,     15.500,   26.21,   79.38,   5.12,     7.750,    0.99, 1053.74, 135.97
           16,      8.250,    0.94, 1175.37, 142.47,      4.125,    6.54,  169.28,  41.04,     16.500,   26.23,   84.42,   5.12,     8.250,    1.01, 1101.16, 133.47
           17,      8.750,    0.94, 1247.97, 142.62,      4.375,    6.93,  169.38,  38.72,     17.500,   27.81,   84.46,   4.83,     8.750,    1.02, 1146.88, 131.07
           18,      9.250,    0.94, 1316.41, 142.31,      4.625,    7.33,  169.47,  36.64,     18.500,   29.04,   85.51,   4.62,     9.250,    1.03, 1206.38, 130.42
           20,     10.250,    0.95, 1455.57, 142.01,      5.125,    8.02,  171.58,  33.48,     20.500,   32.01,   85.96,   4.19,    10.250,    1.09, 1267.44, 123.65
           22,     11.250,    0.94, 1599.31, 142.16,      5.625,    8.68,  173.89,  30.91,     22.500,   34.16,   88.40,   3.93,    11.250,    1.12, 1345.40, 119.59
           24,     12.250,    0.95, 1737.70, 141.85,      6.125,    9.36,  175.73,  28.69,     24.500,   37.36,   88.03,   3.59,    12.250,    1.23, 1341.38, 109.50
           28,     14.250,    0.95, 2019.22, 141.70,      7.125,   10.92,  175.21,  24.59,     28.500,   42.92,   89.13,   3.13,    14.250,    1.39, 1373.36,  96.38
           32,     16.250,    0.95, 2295.17, 141.24,      8.125,   12.30,  177.29,  21.82,     32.500,   48.72,   89.53,   2.75,    16.250,    1.58, 1382.17,  85.06
           40,     20.250,    0.95, 2863.22, 141.39,     10.125,   15.28,  177.85,  17.57,     40.500,   60.90,   89.25,   2.20,    20.250,    1.96, 1384.56,  68.37
           48,     24.250,    0.95, 3410.40, 140.64,     12.125,   18.28,  178.06,  14.69,     48.500,   72.61,   89.65,   1.85,    24.250,    2.34, 1391.65,  57.39
           56,     28.250,    0.95, 3990.07, 141.24,     14.125,   21.23,  178.56,  12.64,     56.500,   84.93,   89.29,   1.58,    28.250,    2.72, 1395.17,  49.39
           64,     32.250,    0.95, 4564.87, 141.55,     16.125,   24.35,  177.74,  11.02,     64.500,   96.87,   89.36,   1.39,    32.250,    3.10, 1397.84,  43.34
           80,     40.250,    1.02, 5302.16, 131.73,     20.125,   30.23,  178.71,   8.88,     80.500,  121.49,   88.93,   1.10,    40.250,    3.86, 1398.63,  34.75
           96,     48.250,    1.20, 5409.94, 112.12,     24.125,   36.23,  178.75,   7.41,     96.500,  145.61,   88.95,   0.92,    48.250,    4.64, 1396.08,  28.93
          128,     64.250,    1.58, 5450.73,  84.84,     32.125,   48.22,  178.84,   5.57,    128.500,  194.76,   88.56,   0.69,    64.250,    6.14, 1405.44,  21.87
          192,     96.250,    2.74, 4707.34,  48.91,     48.125,   72.89,  177.22,   3.68,    192.500,  287.50,   89.87,   0.47,    96.250,    9.19, 1405.80,  14.61
          256,    128.250,    3.53, 4878.12,  38.04,     64.125,   97.10,  177.28,   2.76,    256.500,  382.89,   89.91,   0.35,   128.250,   12.32, 1397.11,  10.89
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
