mixbench (v0.04-9-g858bbdd)
------------------------ Device specifications ------------------------
Device:              Tesla P40
CUDA driver version: 12.0
GPU clock rate:      1531 MHz
Memory clock rate:   1807 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       3072 KB
Total global mem:    22912 MB
ECC enabled:         Yes
Compute Capability:  6.1
Total SPs:           3840 (30 MPs x 128 SPs/MP)
Compute throughput:  11758.08 GFlops (theoretical single precision FMAs)
Memory bandwidth:    347.04 GB/sec
-----------------------------------------------------------------------
Total GPU memory 24025694208, free 23870373888
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.56,   60.46, 241.83,      0.125,    1.07,   31.36, 250.85,      0.500,    0.57,  118.08, 236.17,     0.250,    0.56,   60.46, 241.83
            1,      0.750,    0.56,  181.09, 241.45,      0.375,    1.08,   93.45, 249.21,      1.500,    1.40,  143.30,  95.53,     0.750,    0.56,  181.04, 241.38
            2,      1.250,    0.56,  301.73, 241.38,      0.625,    1.08,  155.61, 248.97,      2.500,    2.25,  148.88,  59.55,     1.250,    0.56,  297.94, 238.35
            3,      1.750,    0.56,  422.42, 241.38,      0.875,    1.08,  217.21, 248.24,      3.500,    3.12,  150.41,  42.97,     1.750,    0.56,  422.42, 241.38
            4,      2.250,    0.56,  544.12, 241.83,      1.125,    1.09,  276.91, 246.14,      4.500,    3.99,  151.51,  33.67,     2.250,    0.56,  539.21, 239.65
            5,      2.750,    0.56,  664.04, 241.47,      1.375,    1.22,  301.88, 219.55,      5.500,    4.84,  152.60,  27.75,     2.750,    0.55,  670.17, 243.70
            6,      3.250,    0.56,  784.59, 241.41,      1.625,    1.44,  303.62, 186.85,      6.500,    5.70,  153.12,  23.56,     3.250,    0.55,  791.79, 243.63
            7,      3.750,    0.56,  905.19, 241.38,      1.875,    1.65,  304.54, 162.42,      7.500,    6.53,  154.08,  20.54,     3.750,    0.55,  910.22, 242.73
            8,      4.250,    0.56, 1025.89, 241.38,      2.125,    1.87,  305.74, 143.88,      8.500,    7.39,  154.46,  18.17,     4.250,    0.56, 1024.00, 240.94
            9,      4.750,    0.56, 1146.58, 241.38,      2.375,    2.08,  306.42, 129.02,      9.500,    8.28,  153.94,  16.20,     4.750,    0.56, 1136.12, 239.18
           10,      5.250,    0.56, 1264.94, 240.94,      2.625,    2.29,  307.50, 117.14,     10.500,    9.14,  154.17,  14.68,     5.250,    0.56, 1251.92, 238.46
           11,      5.750,    0.56, 1385.41, 240.94,      2.875,    2.51,  307.87, 107.09,     11.500,   10.07,  153.34,  13.33,     5.750,    0.57, 1362.86, 237.02
           12,      6.250,    0.56, 1502.77, 240.44,      3.125,    2.72,  307.97,  98.55,     12.500,   10.87,  154.39,  12.35,     6.250,    0.58, 1455.14, 232.82
           13,      6.750,    0.56, 1623.37, 240.50,      3.375,    2.94,  308.08,  91.28,     13.500,   11.76,  154.08,  11.41,     6.750,    0.58, 1562.19, 231.44
           14,      7.250,    0.56, 1743.62, 240.50,      3.625,    3.15,  308.53,  85.11,     14.500,   12.67,  153.58,  10.59,     7.250,    0.58, 1670.07, 230.35
           15,      7.750,    0.56, 1863.97, 240.51,      3.875,    3.37,  308.22,  79.54,     15.500,   13.54,  153.69,   9.92,     7.750,    0.59, 1760.50, 227.16
           16,      8.250,    0.56, 1978.22, 239.78,      4.125,    3.52,  314.71,  76.29,     16.500,   13.04,  169.89,  10.30,     8.250,    0.59, 1880.50, 227.94
           17,      8.750,    0.56, 2097.75, 239.74,      4.375,    3.46,  339.01,  77.49,     17.500,   13.82,  170.00,   9.71,     8.750,    0.59, 1984.22, 226.77
           18,      9.250,    0.56, 2212.44, 239.18,      4.625,    3.66,  339.14,  73.33,     18.500,   14.60,  170.03,   9.19,     9.250,    0.60, 2076.17, 224.45
           20,     10.250,    0.56, 2455.40, 239.55,      5.125,    4.05,  339.47,  66.24,     20.500,   16.28,  168.96,   8.24,    10.250,    0.62, 2236.70, 218.21
           22,     11.250,    0.56, 2690.96, 239.20,      5.625,    4.45,  339.68,  60.39,     22.500,   17.73,  170.29,   7.57,    11.250,    0.63, 2386.50, 212.13
           24,     12.250,    0.56, 2930.15, 239.20,      6.125,    4.83,  340.61,  55.61,     24.500,   19.27,  170.61,   6.96,    12.250,    0.66, 2505.01, 204.49
           28,     14.250,    0.56, 3395.96, 238.31,      7.125,    5.61,  340.83,  47.84,     28.500,   22.08,  173.22,   6.08,    14.250,    0.73, 2630.67, 184.61
           32,     16.250,    0.56, 3865.55, 237.88,      8.125,    6.35,  343.56,  42.28,     32.500,   24.44,  178.45,   5.49,    16.250,    0.79, 2767.37, 170.30
           40,     20.250,    0.57, 4801.82, 237.13,     10.125,    7.60,  357.61,  35.32,     40.500,   30.17,  180.16,   4.45,    20.250,    0.97, 2790.97, 137.83
           48,     24.250,    0.57, 5739.95, 236.70,     12.125,    9.10,  357.74,  29.50,     48.500,   36.05,  180.59,   3.72,    24.250,    1.14, 2854.27, 117.70
           56,     28.250,    0.57, 6707.94, 237.45,     14.125,   10.39,  365.09,  25.85,     56.500,   41.77,  181.56,   3.21,    28.250,    1.33, 2846.11, 100.75
           64,     32.250,    0.56, 7685.59, 238.31,     16.125,   11.85,  365.22,  22.65,     64.500,   47.33,  182.92,   2.84,    32.250,    1.52, 2852.82,  88.46
           80,     40.250,    0.56, 9595.90, 238.41,     20.125,   14.78,  365.50,  18.16,     80.500,   59.47,  181.69,   2.26,    40.250,    1.89, 2865.84,  71.20
           96,     48.250,    0.60,10737.22, 222.53,     24.125,   17.71,  365.60,  15.15,     96.500,   71.27,  181.73,   1.88,    48.250,    2.25, 2881.20,  59.71
          128,     64.250,    0.77,11228.50, 174.76,     32.125,   23.57,  365.82,  11.39,    128.500,   94.23,  183.03,   1.42,    64.250,    3.01, 2869.29,  44.66
          192,     96.250,    1.35, 9571.84,  99.45,     48.125,   35.27,  366.25,   7.61,    192.500,  141.09,  183.13,   0.95,    96.250,    4.53, 2853.60,  29.65
          256,    128.250,    1.73, 9977.73,  77.80,     64.125,   47.00,  366.25,   5.71,    256.500,  189.30,  181.87,   0.71,   128.250,    6.06, 2840.00,  22.14
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
