mixbench (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              Tesla T4
CUDA driver version: 12.30
GPU clock rate:      1590 MHz
Memory clock rate:   2500 MHz
Memory bus width:    256 bits
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    14929 MB
ECC enabled:         Yes
Compute Capability:  7.5
Total SPs:           2560 (40 MPs x 64 SPs/MP)
Compute throughput:  8140.80 GFlops (theoretical single precision FMAs)
Memory bandwidth:    320.06 GB/sec
-----------------------------------------------------------------------
Total GPU memory 15654780928, free 15544614912
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.51,   66.33, 265.33,      0.125,    0.99,   33.87, 270.95,      0.500,    0.51,  131.82, 263.64,     0.250,    0.49,   68.27, 273.07
            1,      0.750,    0.51,  198.19, 264.26,      0.375,    1.03,   97.47, 259.92,      1.500,    0.50,  404.54, 269.70,     0.750,    0.50,  202.28, 269.71
            2,      1.250,    0.54,  313.46, 250.77,      0.625,    1.16,  144.54, 231.26,      2.500,    0.54,  616.66, 246.67,     1.250,    0.55,  305.67, 244.54
            3,      1.750,    0.53,  446.26, 255.00,      0.875,    1.60,  146.73, 167.70,      3.500,    0.51,  921.02, 263.15,     1.750,    0.50,  471.85, 269.63
            4,      2.250,    0.49,  611.85, 271.93,      1.125,    2.06,  146.94, 130.61,      4.500,    0.51, 1185.28, 263.40,     2.250,    0.52,  576.00, 256.00
            5,      2.750,    0.50,  739.38, 268.87,      1.375,    2.50,  147.62, 107.36,      5.500,    0.51, 1455.44, 264.62,     2.750,    0.56,  654.39, 237.96
            6,      3.250,    0.49,  883.10, 271.72,      1.625,    2.95,  147.71,  90.90,      6.500,    0.50, 1746.73, 268.73,     3.250,    0.54,  809.18, 248.98
            7,      3.750,    0.58,  863.55, 230.28,      1.875,    3.36,  149.90,  79.95,      7.500,    0.50, 1998.56, 266.47,     3.750,    0.56,  906.86, 241.83
            8,      4.250,    0.52, 1092.27, 257.00,      2.125,    3.80,  150.23,  70.70,      8.500,    0.50, 2264.02, 266.36,     4.250,    0.55, 1043.05, 245.42
            9,      4.750,    0.51, 1255.15, 264.24,      2.375,    4.23,  150.82,  63.50,      9.500,    0.51, 2494.73, 262.60,     4.750,    0.55, 1152.95, 242.73
           10,      5.250,    0.56, 1264.94, 240.94,      2.625,    4.69,  150.37,  57.28,     10.500,    0.53, 2659.27, 253.26,     5.250,    0.55, 1269.90, 241.89
           11,      5.750,    0.52, 1470.21, 255.69,      2.875,    5.14,  150.19,  52.24,     11.500,    0.53, 2908.85, 252.94,     5.750,    0.57, 1349.67, 234.73
           12,      6.250,    0.50, 1675.90, 268.14,      3.125,    5.57,  150.61,  48.19,     12.500,    0.51, 3263.75, 261.10,     6.250,    0.57, 1483.89, 237.42
           13,      6.750,    0.51, 1779.59, 263.64,      3.375,    5.98,  151.40,  44.86,     13.500,    0.53, 3400.99, 251.93,     6.750,    0.57, 1594.39, 236.21
           14,      7.250,    0.53, 1849.79, 255.14,      3.625,    6.42,  151.51,  41.80,     14.500,    0.51, 3851.40, 265.61,     7.250,    0.59, 1655.98, 228.41
           15,      7.750,    0.51, 2048.00, 264.26,      3.875,    6.96,  149.43,  38.56,     15.500,    0.53, 3925.83, 253.28,     7.750,    0.57, 1813.94, 234.06
           16,      8.250,    0.53, 2095.63, 254.02,      4.125,    7.11,  155.67,  37.74,     16.500,    0.50, 4432.31, 268.62,     8.250,    0.58, 1920.26, 232.76
           17,      8.750,    0.54, 2180.38, 249.19,      4.375,    7.55,  155.57,  35.56,     17.500,    0.52, 4497.84, 257.02,     8.750,    0.60, 1945.10, 222.30
           18,      9.250,    0.51, 2454.59, 265.36,      4.625,    7.97,  155.77,  33.68,     18.500,    0.52, 4792.16, 259.04,     9.250,    0.58, 2127.40, 229.99
           20,     10.250,    0.51, 2682.28, 261.69,      5.125,    8.83,  155.89,  30.42,     20.500,    0.52, 5253.45, 256.27,    10.250,    0.59, 2332.44, 227.56
           22,     11.250,    0.56, 2684.53, 238.62,      5.625,    9.69,  155.78,  27.69,     22.500,    0.54, 5610.36, 249.35,    11.250,    0.60, 2524.39, 224.39
           24,     12.250,    0.52, 3164.59, 258.33,      6.125,   10.54,  156.00,  25.47,     24.500,    0.53, 6175.51, 252.06,    12.250,    0.63, 2629.76, 214.67
           28,     14.250,    0.52, 3699.71, 259.63,      7.125,   12.29,  155.59,  21.84,     28.500,    0.54, 7115.34, 249.66,    14.250,    0.63, 3056.60, 214.50
           32,     16.250,    0.56, 3907.66, 240.47,      8.125,   14.00,  155.74,  19.17,     32.500,    0.54, 8037.43, 247.31,    16.250,    0.65, 3370.13, 207.39
           40,     20.250,    0.55, 4924.03, 243.16,     10.125,   14.31,  189.90,  18.76,     40.500,    0.58, 9356.10, 231.01,    20.250,    0.63, 4322.81, 213.47
           48,     24.250,    0.53, 6169.96, 254.43,     12.125,   15.36,  211.87,  17.47,     48.500,    0.58,11281.89, 232.62,    24.250,    0.65, 5022.06, 207.10
           56,     28.250,    0.57, 6695.81, 237.02,     14.125,   17.90,  211.88,  15.00,     56.500,    0.58,13131.17, 232.41,    28.250,    0.66, 5731.86, 202.90
           64,     32.250,    0.60, 7195.02, 223.10,     16.125,   20.39,  212.27,  13.16,     64.500,    0.67,12969.59, 201.08,    32.250,    0.71, 6125.91, 189.95
           80,     40.250,    0.73, 7430.82, 184.62,     20.125,   25.43,  212.42,  10.55,     80.500,    0.81,13306.07, 165.29,    40.250,    0.81, 6665.64, 165.61
           96,     48.250,    0.85, 7624.71, 158.03,     24.125,   30.24,  214.16,   8.88,     96.500,    0.94,13726.86, 142.25,    48.250,    0.93, 6934.46, 143.72
          128,     64.250,    1.15, 7495.25, 116.66,     32.125,   40.20,  214.49,   6.68,    128.500,    1.25,13791.76, 107.33,    64.250,    1.21, 7131.66, 111.00
          192,     96.250,    1.67, 7722.36,  80.23,     48.125,   60.19,  214.62,   4.46,    192.500,    2.22,11630.70,  60.42,    96.250,    1.76, 7348.85,  76.35
          256,    128.250,    2.18, 7901.17,  61.61,     64.125,   80.16,  214.74,   3.35,    256.500,    2.56,13447.99,  52.43,   128.250,    2.29, 7500.69,  58.48
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
