mixbench-hip (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              AMD Radeon Graphics
CUDA driver version: 50631.62
GPU clock rate:      2700 MHz
WarpSize:            32
L2 cache size:       2048 KB
Total global mem:    1024 MB
Total SPs:           384 (6 MPs x 64 SPs/MP)
Compute throughput:  2073.60 GFlops (theoretical single precision FMAs)
Memory bandwidth:    25.60 GB/sec
-----------------------------------------------------------------------
Total GPU memory 1073741824, free 981467136
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    1.63,   20.63,  82.51,      0.250,    3.31,   20.25,  80.99,      0.125,    3.31,   10.15,  81.19,      0.500,    1.61,   41.74,  83.47,     0.250,    1.61,   20.88,  83.52
            1,      0.750,    1.61,   62.46,  83.28,      0.750,    3.23,   62.24,  82.98,      0.375,    3.33,   30.25,  80.65,      1.500,    1.63,  123.81,  82.54,     0.750,    1.65,   60.91,  81.21
            2,      1.250,    1.67,  100.31,  80.24,      1.250,    3.22,  104.06,  83.25,      0.625,    3.17,   52.90,  84.64,      2.500,    1.61,  208.60,  83.44,     1.250,    1.60,  104.82,  83.86
            3,      1.750,    1.64,  142.82,  81.61,      1.750,    3.22,  146.07,  83.47,      0.875,    3.16,   74.27,  84.87,      3.500,    1.58,  297.55,  85.01,     1.750,    1.63,  144.31,  82.47
            4,      2.250,    1.58,  191.50,  85.11,      2.250,    3.22,  187.71,  83.43,      1.125,    3.17,   95.39,  84.79,      4.500,    1.64,  369.17,  82.04,     2.250,    1.62,  186.17,  82.74
            5,      2.750,    1.58,  233.85,  85.04,      2.750,    3.20,  230.81,  83.93,      1.375,    3.31,  111.54,  81.12,      5.500,    1.66,  445.38,  80.98,     2.750,    1.63,  226.85,  82.49
            6,      3.250,    1.63,  267.55,  82.32,      3.250,    3.23,  270.48,  83.23,      1.625,    3.79,  114.97,  70.75,      6.500,    1.66,  525.51,  80.85,     3.250,    1.63,  268.16,  82.51
            7,      3.750,    1.59,  316.15,  84.31,      3.750,    3.19,  315.80,  84.21,      1.875,    4.30,  117.05,  62.43,      7.500,    1.61,  623.33,  83.11,     3.750,    1.65,  305.11,  81.36
            8,      4.250,    1.59,  359.80,  84.66,      4.250,    3.17,  360.45,  84.81,      2.125,    4.81,  118.59,  55.81,      8.500,    1.60,  713.31,  83.92,     4.250,    1.65,  344.82,  81.14
            9,      4.750,    1.59,  400.76,  84.37,      4.750,    3.15,  404.41,  85.14,      2.375,    5.34,  119.29,  50.23,      9.500,    1.58,  806.70,  84.92,     4.750,    1.64,  387.86,  81.66
           10,      5.250,    1.60,  439.06,  83.63,      5.250,    3.16,  445.93,  84.94,      2.625,    5.75,  122.61,  46.71,     10.500,    1.59,  886.83,  84.46,     5.250,    1.63,  431.48,  82.19
           11,      5.750,    1.58,  486.96,  84.69,      5.750,    3.19,  483.92,  84.16,      2.875,    6.25,  123.57,  42.98,     11.500,    1.64,  942.14,  81.93,     5.750,    1.65,  468.52,  81.48
           12,      6.250,    1.61,  520.67,  83.31,      6.250,    3.16,  530.16,  84.82,      3.125,    6.74,  124.53,  39.85,     12.500,    1.59, 1053.04,  84.24,     6.250,    1.61,  520.72,  83.32
           13,      6.750,    1.63,  554.94,  82.21,      6.750,    3.19,  567.21,  84.03,      3.375,    7.75,  116.92,  34.64,     13.500,    1.59, 1138.06,  84.30,     6.750,    1.65,  549.83,  81.46
           14,      7.250,    1.60,  608.32,  83.91,      7.250,    3.17,  613.84,  84.67,      3.625,    7.78,  125.00,  34.48,     14.500,    1.63, 1196.13,  82.49,     7.250,    1.64,  593.26,  81.83
           15,      7.750,    1.63,  636.68,  82.15,      7.750,    3.20,  650.60,  83.95,      3.875,    8.26,  125.97,  32.51,     15.500,    1.60, 1302.95,  84.06,     7.750,    1.66,  626.55,  80.85
           16,      8.250,    1.63,  680.12,  82.44,      8.250,    3.16,  701.38,  85.02,      4.125,    8.74,  126.65,  30.70,     16.500,    1.63, 1360.18,  82.44,     8.250,    1.65,  669.54,  81.16
           17,      8.750,    1.62,  724.50,  82.80,      8.750,    3.18,  738.33,  84.38,      4.375,    9.25,  126.98,  29.02,     17.500,    1.62, 1451.23,  82.93,     8.750,    1.67,  704.30,  80.49
           18,      9.250,    1.65,  752.09,  81.31,      9.250,    3.16,  784.90,  84.85,      4.625,    9.75,  127.31,  27.53,     18.500,    1.64, 1517.99,  82.05,     9.250,    1.70,  732.14,  79.15
           20,     10.250,    1.66,  828.02,  80.78,     10.250,    3.20,  860.39,  83.94,      5.125,   10.76,  127.90,  24.96,     20.500,    1.60, 1715.47,  83.68,    10.250,    1.75,  787.25,  76.81
           22,     11.250,    1.62,  934.74,  83.09,     11.250,    3.19,  947.92,  84.26,      5.625,   11.81,  127.90,  22.74,     22.500,    1.68, 1792.24,  79.66,    11.250,    1.89,  800.44,  71.15
           24,     12.250,    1.65,  994.07,  81.15,     12.250,    3.21, 1025.56,  83.72,      6.125,   12.82,  128.24,  20.94,     24.500,    1.64, 2010.16,  82.05,    12.250,    1.94,  848.44,  69.26
           28,     14.250,    1.65, 1160.76,  81.46,     14.250,    3.23, 1184.90,  83.15,      7.125,   14.79,  129.32,  18.15,     28.500,    1.63, 2353.87,  82.59,    14.250,    2.30,  832.06,  58.39
