mixbench-hip (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              AMD Radeon RX 6700 XT
CUDA driver version: 50631.62
GPU clock rate:      2855 MHz
WarpSize:            32
L2 cache size:       3072 KB
Total global mem:    12272 MB
Total SPs:           1280 (20 MPs x 64 SPs/MP)
Compute throughput:  7308.80 GFlops (theoretical single precision FMAs)
Memory bandwidth:    48.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 12868124672, free 12809404416
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.73,   45.72, 182.89,      0.250,    1.59,   42.23, 168.93,      0.125,    1.47,   22.90, 183.22,      0.500,    0.49,  136.17, 272.34,     0.250,    0.49,   67.97, 271.89
            1,      0.750,    0.49,  204.02, 272.03,      0.750,    1.06,  189.20, 252.26,      0.375,    1.06,   94.54, 252.12,      1.500,    0.49,  408.34, 272.23,     0.750,    0.49,  204.19, 272.25
            2,      1.250,    0.49,  339.10, 271.28,      1.250,    0.71,  471.46, 377.16,      0.625,    0.71,  235.36, 376.57,      2.500,    0.33, 1012.63, 405.05,     1.250,    0.33,  505.77, 404.61
            3,      1.750,    0.33,  706.71, 403.83,      1.750,    0.71,  660.30, 377.31,      0.875,    0.71,  329.45, 376.51,      3.500,    0.33, 1414.78, 404.22,     1.750,    0.33,  709.01, 405.15
            4,      2.250,    0.33,  910.05, 404.47,      2.250,    0.71,  853.37, 379.28,      1.125,    0.72,  420.08, 373.41,      4.500,    0.33, 1817.03, 403.78,     2.250,    0.33,  910.60, 404.71
            5,      2.750,    0.33, 1110.68, 403.88,      2.750,    0.71, 1041.36, 378.68,      1.375,    0.72,  509.24, 370.36,      5.500,    0.33, 2224.30, 404.42,     2.750,    0.33, 1116.45, 405.98
            6,      3.250,    0.33, 1315.94, 404.90,      3.250,    0.71, 1230.28, 378.55,      1.625,    0.72,  602.13, 370.54,      6.500,    0.33, 2633.16, 405.10,     3.250,    0.33, 1314.04, 404.32
            7,      3.750,    0.33, 1517.66, 404.71,      3.750,    0.71, 1420.11, 378.70,      1.875,    0.71,  704.57, 375.77,      7.500,    0.33, 3038.26, 405.10,     3.750,    0.33, 1511.64, 403.10
            8,      4.250,    0.33, 1717.95, 404.22,      4.250,    0.71, 1609.74, 378.76,      2.125,    0.75,  765.59, 360.28,      8.500,    0.33, 3440.44, 404.76,     4.250,    0.33, 1709.29, 402.19
