mixbench-hip (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              AMD Radeon RX 7800 XT
CUDA driver version: 60140.93
GPU clock rate:      2254 MHz
WarpSize:            32
L2 cache size:       4096 KB
Total global mem:    16368 MB
Total SPs:           3840 (30 MPs x 128 SPs/MP)
Compute throughput:  17310.72 GFlops (theoretical single precision FMAs)
Memory bandwidth:    77.95 GB/sec
-----------------------------------------------------------------------
Total GPU memory 17163091968, free 16961765376
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.22,  150.77, 603.07,      0.250,    0.44,  152.67, 610.70,      0.125,    0.44,   76.31, 610.47,      0.500,    0.22,  301.70, 603.39,     0.250,    0.22,  150.98, 603.94
            1,      0.750,    0.22,  451.97, 602.63,      0.750,    0.44,  458.10, 610.81,      0.375,    0.44,  228.74, 609.97,      1.500,    0.22,  905.42, 603.61,     0.750,    0.22,  451.98, 602.64
            2,      1.250,    0.22,  755.19, 604.15,      1.250,    0.44,  762.33, 609.86,      0.625,    0.44,  379.34, 606.94,      2.500,    0.22, 1505.78, 602.31,     1.250,    0.22,  753.16, 602.53
            3,      1.750,    0.22, 1055.37, 603.07,      1.750,    0.44, 1068.62, 610.64,      0.875,    0.44,  529.25, 604.86,      3.500,    0.22, 2112.63, 603.61,     1.750,    0.22, 1053.85, 602.20
            4,      2.250,    0.22, 1355.92, 602.63,      2.250,    0.44, 1373.81, 610.58,      1.125,    0.54,  561.70, 499.29,      4.500,    0.22, 2715.26, 603.39,     2.250,    0.22, 1357.15, 603.18
            5,      2.750,    0.22, 1656.05, 602.20,      2.750,    0.44, 1680.18, 610.97,      1.375,    0.65,  571.58, 415.69,      5.500,    0.22, 3318.67, 603.39,     2.750,    0.22, 1657.54, 602.74
            6,      3.250,    0.22, 1963.15, 604.05,      3.250,    0.44, 1977.02, 608.32,      1.625,    0.75,  581.71, 357.97,      6.500,    0.22, 3920.65, 603.18,     3.250,    0.22, 1959.27, 602.85
            7,      3.750,    0.22, 2263.12, 603.50,      3.750,    0.44, 2286.99, 609.86,      1.875,    0.86,  587.22, 313.19,      7.500,    0.22, 4515.69, 602.09,     3.750,    0.22, 2260.29, 602.74
            8,      4.250,    0.22, 2567.64, 604.15,      4.250,    0.44, 2589.56, 609.31,      2.125,    0.96,  591.63, 278.42,      8.500,    0.22, 5211.32, 613.10,     4.250,    0.22, 2563.49, 603.17
