mixbench-sycl (v0.04-12-g440a133)
Use "-h" argument to see available options
------------------------ Device specifications ------------------------
Platform:            Intel(R) OpenCL Graphics
Device:              Intel(R) Arc(TM) A750 Graphics/Intel(R) Corporation
Driver version:      23.48.27912
Address bits:        64
GPU clock rate:      2400 MHz
Total global mem:    7721 MB
Max allowed buffer:  3860 MB
SYCL version:        3.0
Total CUs:           448
-----------------------------------------------------------------------
Total GPU memory:     8096681984
Buffer size:          256MB
Elements per thread:  8
Thread fusion degree: 4
Timer:                SYCL event based
Warning:              Double precision computations are not supported
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.34,   99.73, 398.91,      0.125,    0.00,     inf,    inf,      0.500,    0.34,  199.58, 399.16,     0.250,    0.34,   98.51, 394.03
            1,      0.750,    0.33,  301.61, 402.15,      0.375,    0.00,     inf,    inf,      1.500,    0.34,  590.33, 393.55,     0.750,    0.34,  295.34, 393.79
            2,      1.250,    0.33,  501.44, 401.15,      0.625,    0.00,     inf,    inf,      2.500,    0.34,  980.59, 392.24,     1.250,    0.34,  491.49, 393.19
            3,      1.750,    0.34,  700.92, 400.53,      0.875,    0.00,     inf,    inf,      3.500,    0.34, 1385.48, 395.85,     1.750,    0.35,  679.38, 388.22
            4,      2.250,    0.34,  895.89, 398.17,      1.125,    0.00,     inf,    inf,      4.500,    0.34, 1760.77, 391.28,     2.250,    0.34,  889.30, 395.24
            5,      2.750,    0.34, 1100.42, 400.15,      1.375,    0.00,     inf,    inf,      5.500,    0.34, 2171.17, 394.76,     2.750,    0.34, 1082.27, 393.55
            6,      3.250,    0.33, 1302.11, 400.65,      1.625,    0.00,     inf,    inf,      6.500,    0.34, 2575.40, 396.21,     3.250,    0.34, 1276.71, 392.83
            7,      3.750,    0.33, 1502.44, 400.65,      1.875,    0.00,     inf,    inf,      7.500,    0.34, 2980.78, 397.44,     3.750,    0.34, 1477.63, 394.03
            8,      4.250,    0.34, 1684.43, 396.34,      2.125,    0.00,     inf,    inf,      8.500,    0.34, 3330.95, 391.88,     4.250,    0.34, 1674.13, 393.91
            9,      4.750,    0.34, 1890.74, 398.05,      2.375,    0.00,     inf,    inf,      9.500,    0.34, 3741.04, 393.79,     4.750,    0.34, 1851.84, 389.86
           10,      5.250,    0.34, 2097.55, 399.53,      2.625,    0.00,     inf,    inf,     10.500,    0.34, 4113.46, 391.76,     5.250,    0.35, 2027.75, 386.24
           11,      5.750,    0.34, 2285.97, 397.56,      2.875,    0.00,     inf,    inf,     11.500,    0.34, 4514.82, 392.59,     5.750,    0.34, 2274.74, 395.61
           12,      6.250,    0.34, 2497.08, 399.53,      3.125,    0.00,     inf,    inf,     12.500,    0.35, 4858.57, 388.69,     6.250,    0.34, 2440.32, 390.45
           13,      6.750,    0.33, 2710.29, 401.52,      3.375,    0.00,     inf,    inf,     13.500,    0.35, 5218.91, 386.59,     6.750,    0.35, 2604.77, 385.89
           14,      7.250,    0.33, 2948.72, 406.72,      3.625,    0.00,     inf,    inf,     14.500,    0.35, 5620.67, 387.63,     7.250,    0.35, 2772.80, 382.46
           15,      7.750,    0.33, 3149.11, 406.34,      3.875,    0.00,     inf,    inf,     15.500,    0.34, 6033.73, 389.27,     7.750,    0.36, 2923.25, 377.19
           16,      8.250,    0.33, 3385.37, 410.35,      4.125,    0.00,     inf,    inf,     16.500,    0.32, 6836.05, 414.31,     8.250,    0.36, 3096.43, 375.33
           17,      8.750,    0.32, 3696.49, 422.46,      4.375,    0.00,     inf,    inf,     17.500,    0.32, 7255.01, 414.57,     8.750,    0.37, 3151.89, 360.22
